Dates,VOLATILITY_30D,PX_LAST
1/3/2017,9.43,15.89
1/4/2017,9.45,15.04
1/5/2017,9.51,14.68
1/6/2017,9.53,14.13
1/9/2017,8.75,14.27
1/10/2017,8.76,14.15
1/11/2017,8.42,14.27
1/12/2017,8.34,14.01
1/13/2017,7.95,13.09
1/16/2017,8.21,14.21
1/17/2017,8.04,14.63
1/18/2017,8.05,13.92
1/19/2017,7.65,13.69
1/20/2017,7.49,13.55
1/23/2017,7.85,15.55
1/24/2017,7.63,15.15
1/25/2017,8.05,14.47
1/26/2017,7.76,14.21
1/27/2017,7.76,14.14
1/30/2017,8.62,15.67
1/31/2017,8.45,15.78
2/1/2017,8.67,15.29
2/2/2017,8.82,14.74
2/3/2017,9.11,13.71
2/6/2017,9.42,14.73
2/7/2017,9.52,15.06
2/8/2017,9.47,15.19
2/9/2017,9.94,13.89
2/10/2017,9.77,13.37
2/13/2017,10.09,13.20
2/14/2017,10.08,13.35
2/15/2017,10.13,13.33
2/16/2017,10.29,14.20
2/17/2017,10.60,13.59
2/20/2017,10.85,13.45
2/21/2017,10.92,13.22
2/22/2017,10.63,13.60
2/23/2017,10.30,14.18
2/24/2017,10.12,14.42
2/27/2017,9.97,14.58
2/28/2017,9.84,14.85
3/1/2017,11.30,13.91
3/2/2017,11.35,13.92
3/3/2017,11.11,13.80
3/6/2017,11.25,14.08
3/7/2017,10.94,13.70
3/8/2017,10.87,13.25
3/9/2017,11.14,9.60
3/10/2017,10.26,9.99
3/13/2017,9.96,10.02
3/14/2017,10.05,11.95
3/15/2017,10.01,11.97
3/16/2017,9.92,11.06
3/17/2017,9.43,10.14
3/20/2017,9.50,11.64
3/21/2017,9.56,12.37
3/22/2017,9.67,12.84
3/23/2017,9.76,13.27
3/24/2017,9.54,13.33
3/27/2017,9.68,14.14
3/28/2017,9.73,13.49
3/29/2017,9.53,13.52
3/30/2017,9.17,13.50
3/31/2017,8.83,13.61
4/3/2017,8.99,14.60
4/4/2017,8.99,14.55
4/5/2017,8.90,14.74
4/6/2017,8.67,15.18
4/7/2017,8.70,15.49
4/10/2017,8.70,16.79
4/11/2017,6.78,17.03
4/12/2017,6.73,16.97
4/13/2017,6.81,18.50
4/14/2017,6.81,18.50
4/17/2017,6.81,18.50
4/18/2017,7.63,19.46
4/19/2017,7.65,18.04
4/20/2017,7.65,18.51
4/21/2017,7.10,18.01
4/24/2017,9.52,13.49
4/25/2017,9.52,12.69
4/26/2017,9.42,12.59
4/27/2017,9.56,12.87
4/28/2017,9.45,13.07
5/1/2017,9.45,13.07
5/2/2017,9.71,13.25
5/3/2017,9.68,13.34
5/4/2017,9.75,13.00
5/5/2017,9.63,13.62
5/8/2017,9.53,12.40
5/9/2017,9.49,12.28
5/10/2017,9.35,12.25
5/11/2017,9.36,12.06
5/12/2017,9.35,11.61
5/15/2017,9.31,11.69
5/16/2017,9.31,11.26
5/17/2017,9.98,13.43
5/18/2017,10.39,13.89
5/19/2017,10.45,12.65
5/22/2017,10.43,12.21
5/23/2017,10.37,11.48
5/24/2017,10.37,11.54
5/25/2017,10.36,11.61
5/26/2017,10.35,11.44
5/29/2017,10.26,11.81
5/30/2017,9.61,11.88
5/31/2017,9.67,12.07
6/1/2017,9.77,11.27
6/2/2017,9.78,10.76
6/5/2017,7.34,11.19
6/6/2017,7.51,11.76
6/7/2017,7.55,11.75
6/8/2017,7.40,10.73
6/9/2017,7.68,10.31
6/12/2017,7.92,11.87
6/13/2017,7.97,10.49
6/14/2017,7.78,10.70
6/15/2017,7.34,12.13
6/16/2017,7.42,11.33
6/19/2017,8.00,10.66
6/20/2017,8.43,11.99
6/21/2017,8.41,12.24
6/22/2017,8.40,12.20
6/23/2017,8.38,12.00
6/26/2017,8.42,11.96
6/27/2017,7.67,12.95
6/28/2017,7.36,13.28
6/29/2017,8.42,15.93
6/30/2017,8.38,15.17
7/3/2017,9.24,12.85
7/4/2017,9.25,12.95
7/5/2017,9.25,12.96
7/6/2017,9.24,13.75
7/7/2017,9.24,13.40
7/10/2017,9.34,12.97
7/11/2017,9.32,12.84
7/12/2017,9.79,12.11
7/13/2017,9.93,11.07
7/14/2017,9.93,10.65
7/17/2017,9.81,10.83
7/18/2017,9.96,11.90
7/19/2017,10.58,11.21
7/20/2017,10.42,11.20
7/21/2017,10.22,12.74
7/24/2017,10.18,13.17
7/25/2017,10.29,11.72
7/26/2017,10.25,11.29
7/27/2017,10.29,10.90
7/28/2017,10.28,11.89
7/31/2017,9.84,11.79
8/1/2017,9.90,11.45
8/2/2017,9.96,11.75
8/3/2017,9.96,11.77
8/4/2017,10.13,10.98
8/7/2017,10.10,11.26
8/8/2017,9.97,10.69
8/9/2017,9.09,12.10
8/10/2017,9.51,14.51
8/11/2017,9.80,15.74
8/14/2017,10.02,12.85
8/15/2017,10.03,12.20
8/16/2017,10.10,11.95
8/17/2017,10.21,12.86
8/18/2017,10.48,14.01
8/21/2017,10.62,14.69
8/22/2017,10.53,13.16
8/23/2017,10.55,13.24
8/24/2017,10.48,12.65
8/25/2017,10.52,12.54
8/28/2017,10.46,13.18
8/29/2017,10.12,14.36
8/30/2017,10.22,13.44
8/31/2017,10.19,13.07
9/1/2017,10.27,12.13
9/4/2017,10.15,13.28
9/5/2017,9.96,13.79
9/6/2017,9.84,13.55
9/7/2017,9.63,11.32
9/8/2017,9.63,11.57
9/11/2017,10.03,10.54
9/12/2017,10.08,10.36
9/13/2017,10.14,10.23
9/14/2017,9.95,10.00
9/15/2017,9.96,9.95
9/18/2017,10.04,9.98
9/19/2017,9.72,9.98
9/20/2017,9.34,10.34
9/21/2017,8.41,9.79
9/22/2017,8.12,10.15
9/25/2017,8.09,10.69
9/26/2017,7.89,10.87
9/27/2017,7.90,10.60
9/28/2017,7.54,10.69
9/29/2017,7.46,10.55
10/2/2017,7.22,10.60
10/3/2017,6.98,10.40
10/4/2017,7.00,10.79
10/5/2017,6.85,10.35
10/6/2017,6.88,10.57
10/9/2017,6.00,10.83
10/10/2017,5.91,11.32
10/11/2017,5.78,11.05
10/12/2017,5.73,10.53
10/13/2017,5.64,9.74
10/16/2017,5.55,10.17
10/17/2017,5.59,10.41
10/18/2017,5.53,10.42
10/19/2017,5.95,11.15
10/20/2017,5.40,10.53
10/23/2017,5.29,10.85
10/24/2017,5.46,11.30
10/25/2017,5.69,12.67
10/26/2017,6.31,11.35
10/27/2017,6.25,10.93
10/30/2017,6.21,11.37
10/31/2017,6.43,10.55
11/1/2017,6.40,10.88
11/2/2017,6.42,10.94
11/3/2017,6.39,10.48
11/6/2017,6.40,10.65
11/7/2017,6.45,11.07
11/8/2017,6.39,11.32
