Dates,VOLATILITY_30D,PX_LAST
1/2/2017,9.67,16.89
1/3/2017,9.66,16.83
1/4/2017,9.47,16.08
1/5/2017,9.50,15.53
1/6/2017,9.50,15.00
1/9/2017,9.10,15.13
1/10/2017,8.91,15.11
1/11/2017,8.88,15.38
1/12/2017,8.96,15.06
1/13/2017,8.95,13.73
1/16/2017,9.26,14.83
1/17/2017,8.91,15.30
1/18/2017,8.16,14.89
1/19/2017,7.88,14.72
1/20/2017,7.72,14.44
1/23/2017,7.97,16.61
1/24/2017,7.53,15.94
1/25/2017,7.70,15.16
1/26/2017,7.13,15.13
1/27/2017,7.30,15.37
1/30/2017,8.06,17.02
1/31/2017,8.13,17.02
2/1/2017,8.65,16.13
2/2/2017,8.65,15.56
2/3/2017,8.87,14.66
2/6/2017,9.32,15.83
2/7/2017,9.41,16.45
2/8/2017,9.45,16.27
2/9/2017,10.10,14.42
2/10/2017,10.01,13.94
2/13/2017,10.66,14.06
2/14/2017,10.67,14.18
2/15/2017,10.81,14.25
2/16/2017,10.92,14.98
2/17/2017,11.01,14.55
2/20/2017,11.01,14.95
2/21/2017,11.11,14.69
2/22/2017,11.01,14.81
2/23/2017,10.39,15.36
2/24/2017,10.48,16.10
2/27/2017,10.40,16.36
2/28/2017,10.42,16.35
3/1/2017,12.10,15.19
3/2/2017,12.10,15.12
3/3/2017,12.01,15.02
3/6/2017,12.14,15.59
3/7/2017,11.89,15.30
3/8/2017,11.86,14.78
3/9/2017,11.74,0.43
3/10/2017,11.09,2.94
3/13/2017,10.74,3.01
3/14/2017,10.64,10.75
3/15/2017,10.64,10.60
3/16/2017,10.60,10.75
3/17/2017,10.03,10.00
3/20/2017,9.94,12.53
3/21/2017,10.00,13.24
3/22/2017,9.47,13.94
3/23/2017,9.66,14.48
3/24/2017,9.10,14.67
3/27/2017,9.11,16.24
3/28/2017,9.10,15.78
3/29/2017,8.97,15.91
3/30/2017,8.68,16.25
3/31/2017,8.78,16.72
4/3/2017,9.12,18.35
4/4/2017,9.13,18.49
4/5/2017,9.16,19.39
4/6/2017,8.60,19.61
4/7/2017,8.58,20.58
4/10/2017,8.86,23.46
4/11/2017,6.62,24.44
4/12/2017,6.63,24.06
4/13/2017,6.72,26.38
4/14/2017,6.72,26.38
4/17/2017,6.72,26.38
4/18/2017,8.24,28.07
4/19/2017,8.19,27.00
4/20/2017,9.26,27.60
4/21/2017,9.29,28.15
4/24/2017,15.18,16.98
4/25/2017,15.18,16.33
4/26/2017,15.02,16.24
4/27/2017,15.10,17.70
4/28/2017,15.08,18.61
5/1/2017,15.08,18.61
5/2/2017,15.16,18.43
5/3/2017,15.09,18.64
5/4/2017,15.42,17.85
5/5/2017,15.58,18.93
5/8/2017,15.91,14.40
5/9/2017,15.85,14.28
5/10/2017,15.83,13.74
5/11/2017,15.89,14.37
5/12/2017,15.88,13.44
5/15/2017,15.87,13.72
5/16/2017,15.86,13.06
5/17/2017,16.58,15.50
5/18/2017,16.70,16.63
5/19/2017,16.74,15.25
5/22/2017,16.70,14.23
5/23/2017,16.73,13.48
5/24/2017,16.61,13.62
5/25/2017,16.61,13.60
5/26/2017,16.61,13.59
5/29/2017,16.47,14.20
5/30/2017,15.67,14.30
5/31/2017,15.78,14.33
6/1/2017,15.35,13.41
6/2/2017,15.28,12.65
6/5/2017,9.70,13.48
6/6/2017,9.94,13.90
6/7/2017,9.93,14.03
6/8/2017,9.89,13.00
6/9/2017,10.09,12.32
6/12/2017,10.42,13.58
6/13/2017,10.50,12.78
6/14/2017,9.65,13.04
6/15/2017,8.98,14.36
6/16/2017,9.16,13.68
6/19/2017,9.56,12.95
6/20/2017,9.59,13.88
6/21/2017,9.60,14.27
6/22/2017,9.51,14.08
6/23/2017,9.48,14.18
6/26/2017,9.68,13.73
6/27/2017,8.61,14.80
6/28/2017,8.48,14.82
6/29/2017,9.90,17.48
6/30/2017,10.03,16.86
7/3/2017,10.96,14.31
7/4/2017,11.00,14.23
7/5/2017,11.02,14.36
7/6/2017,11.09,15.11
7/7/2017,11.09,15.01
7/10/2017,11.13,14.37
7/11/2017,11.15,14.55
7/12/2017,12.03,13.36
7/13/2017,11.96,12.37
7/14/2017,11.81,12.07
7/17/2017,11.62,11.91
7/18/2017,12.06,13.16
7/19/2017,12.35,12.93
7/20/2017,12.18,12.86
7/21/2017,12.62,14.46
7/24/2017,12.56,14.55
7/25/2017,12.72,13.04
7/26/2017,12.77,12.56
7/27/2017,12.46,12.59
7/28/2017,12.47,13.20
7/31/2017,12.59,13.48
8/1/2017,12.78,13.04
8/2/2017,12.79,13.24
8/3/2017,12.89,13.57
8/4/2017,13.52,12.51
8/7/2017,13.38,12.55
8/8/2017,13.40,12.54
8/9/2017,12.84,14.56
8/10/2017,12.81,17.52
8/11/2017,12.36,18.36
8/14/2017,12.90,14.40
8/15/2017,12.95,13.75
8/16/2017,13.03,13.16
8/17/2017,13.14,14.19
8/18/2017,13.22,17.11
8/21/2017,13.23,17.60
8/22/2017,12.58,15.55
8/23/2017,12.57,15.11
8/24/2017,12.57,14.57
8/25/2017,12.57,14.03
8/28/2017,12.24,14.56
8/29/2017,12.20,15.99
8/30/2017,12.32,14.91
8/31/2017,11.57,14.73
9/1/2017,11.78,13.51
9/4/2017,11.65,15.47
9/5/2017,11.53,15.59
9/6/2017,11.58,14.95
9/7/2017,11.17,12.33
9/8/2017,10.95,13.65
9/11/2017,11.39,12.28
9/12/2017,11.44,11.87
9/13/2017,11.38,11.37
9/14/2017,10.59,11.38
9/15/2017,10.61,11.47
9/18/2017,10.63,11.52
9/19/2017,9.68,10.77
9/20/2017,9.46,11.09
9/21/2017,8.83,10.68
9/22/2017,8.21,11.34
9/25/2017,8.25,11.94
9/26/2017,8.02,11.96
9/27/2017,7.79,11.77
9/28/2017,7.46,11.69
9/29/2017,7.37,11.39
10/2/2017,7.08,11.39
10/3/2017,6.95,11.24
10/4/2017,6.96,11.97
10/5/2017,6.89,11.46
10/6/2017,6.79,11.57
10/9/2017,5.82,11.85
10/10/2017,5.81,12.53
10/11/2017,5.73,11.94
10/12/2017,5.50,10.86
10/13/2017,5.34,10.64
10/16/2017,5.11,11.38
10/17/2017,5.14,10.81
10/18/2017,5.18,10.81
10/19/2017,5.34,11.51
10/20/2017,4.21,11.82
10/23/2017,3.94,11.98
10/24/2017,3.94,12.22
10/25/2017,4.20,13.83
10/26/2017,5.81,12.07
