Dates,VOLATILITY_30D,PX_LAST
1/2/2017,11.44,17.79
1/3/2017,11.51,17.29
1/4/2017,11.30,16.39
1/5/2017,11.33,15.79
1/6/2017,11.33,15.13
1/9/2017,10.67,15.14
1/10/2017,10.67,15.05
1/11/2017,10.69,15.36
1/12/2017,10.78,16.06
1/13/2017,10.82,14.69
1/16/2017,10.47,15.33
1/17/2017,10.38,15.42
1/18/2017,8.98,14.59
1/19/2017,7.60,14.51
1/20/2017,7.61,14.23
1/23/2017,8.00,16.35
1/24/2017,7.74,15.75
1/25/2017,9.15,15.06
1/26/2017,8.73,14.97
1/27/2017,8.81,15.16
1/30/2017,9.56,16.71
1/31/2017,10.33,17.16
2/1/2017,10.80,16.45
2/2/2017,10.83,15.96
2/3/2017,10.83,15.08
2/6/2017,11.48,16.55
2/7/2017,11.53,16.78
2/8/2017,11.51,16.59
2/9/2017,11.75,15.26
2/10/2017,11.38,14.78
2/13/2017,11.68,14.38
2/14/2017,11.68,14.16
2/15/2017,11.69,14.10
2/16/2017,11.74,14.90
2/17/2017,11.69,14.32
2/20/2017,11.80,14.14
2/21/2017,12.18,14.08
2/22/2017,11.63,14.12
2/23/2017,11.48,14.82
2/24/2017,11.93,15.29
2/27/2017,11.92,15.54
2/28/2017,11.84,15.74
3/1/2017,13.10,14.61
3/2/2017,13.11,14.49
3/3/2017,12.90,14.40
3/6/2017,13.04,14.88
3/7/2017,11.93,14.46
3/8/2017,11.90,14.20
3/9/2017,11.85,14.25
3/10/2017,11.30,14.62
3/13/2017,10.50,14.70
3/14/2017,10.10,14.94
3/15/2017,10.04,14.58
3/16/2017,10.14,11.70
3/17/2017,9.24,11.03
3/20/2017,9.36,12.42
3/21/2017,9.73,13.63
3/22/2017,9.62,14.13
3/23/2017,10.12,14.34
3/24/2017,9.81,14.85
3/27/2017,10.00,15.59
3/28/2017,10.63,14.78
3/29/2017,10.59,14.78
3/30/2017,10.62,14.81
3/31/2017,10.58,14.95
4/3/2017,10.21,16.34
4/4/2017,10.21,16.24
4/5/2017,10.26,16.72
4/6/2017,9.45,17.11
4/7/2017,9.46,17.84
4/10/2017,9.51,19.63
4/11/2017,7.77,20.56
4/12/2017,7.77,19.98
4/13/2017,7.82,20.63
4/14/2017,7.82,20.63
4/17/2017,7.82,20.63
4/18/2017,8.11,22.47
4/19/2017,8.11,21.17
4/20/2017,8.11,21.31
4/21/2017,8.13,21.34
4/24/2017,12.77,14.74
4/25/2017,12.76,13.80
4/26/2017,12.76,13.50
4/27/2017,12.81,13.91
4/28/2017,12.73,14.37
5/1/2017,12.73,14.37
5/2/2017,12.80,14.53
5/3/2017,12.72,15.11
5/4/2017,12.64,14.53
5/5/2017,12.50,15.45
5/8/2017,12.23,13.23
5/9/2017,12.25,12.96
5/10/2017,12.04,13.11
5/11/2017,11.69,13.16
5/12/2017,11.70,12.52
5/15/2017,11.67,12.63
5/16/2017,11.64,12.27
5/17/2017,12.36,14.62
5/18/2017,12.43,15.35
5/19/2017,12.31,13.99
5/22/2017,12.33,13.51
5/23/2017,12.34,12.87
5/24/2017,12.32,12.94
5/25/2017,12.21,13.08
5/26/2017,12.24,13.17
5/29/2017,12.14,13.60
5/30/2017,11.77,13.45
5/31/2017,11.77,13.44
6/1/2017,11.78,12.45
6/2/2017,12.20,12.04
6/5/2017,12.20,12.04
6/6/2017,8.25,13.38
6/7/2017,8.27,13.43
6/8/2017,8.31,12.99
6/9/2017,8.54,12.30
6/12/2017,9.13,13.46
6/13/2017,9.14,12.60
6/14/2017,9.17,13.02
6/15/2017,9.20,14.41
6/16/2017,9.17,13.17
6/19/2017,9.67,12.10
6/20/2017,9.77,13.22
6/21/2017,9.82,12.98
6/22/2017,9.77,12.74
6/23/2017,9.77,12.99
6/26/2017,9.78,12.65
6/27/2017,10.05,13.85
6/28/2017,9.19,13.99
6/29/2017,10.70,16.98
6/30/2017,10.80,16.49
7/3/2017,11.48,13.68
7/4/2017,11.45,14.10
7/5/2017,11.46,13.98
7/6/2017,11.57,15.11
7/7/2017,11.57,14.71
7/10/2017,11.65,14.10
7/11/2017,11.63,14.12
7/12/2017,12.53,13.12
7/13/2017,12.47,12.67
7/14/2017,11.86,12.34
7/17/2017,11.50,12.21
7/18/2017,12.07,13.48
7/19/2017,12.03,13.50
7/20/2017,11.73,13.46
7/21/2017,12.38,14.97
7/24/2017,12.19,15.00
7/25/2017,12.24,13.80
7/26/2017,12.10,13.39
7/27/2017,12.11,13.39
7/28/2017,11.53,13.99
7/31/2017,11.48,14.05
8/1/2017,12.10,13.53
8/2/2017,12.13,13.94
8/3/2017,12.09,13.99
8/4/2017,12.67,13.05
8/7/2017,12.52,13.28
8/8/2017,12.58,12.93
8/9/2017,11.81,14.96
8/10/2017,12.10,18.00
8/11/2017,11.41,17.48
8/14/2017,12.12,14.89
8/15/2017,12.11,14.67
8/16/2017,12.23,14.23
8/17/2017,12.30,15.03
8/18/2017,12.22,16.64
8/21/2017,12.42,17.29
8/22/2017,12.23,15.61
8/23/2017,12.25,15.56
8/24/2017,12.26,15.15
8/25/2017,12.24,15.01
8/28/2017,11.75,15.33
8/29/2017,12.43,16.89
8/30/2017,12.56,16.17
8/31/2017,11.71,15.71
9/1/2017,11.91,14.86
9/4/2017,11.85,16.18
9/5/2017,11.82,16.66
9/6/2017,11.84,16.22
9/7/2017,11.93,15.21
9/8/2017,11.87,15.29
9/11/2017,12.13,13.75
9/12/2017,12.01,13.31
9/13/2017,11.98,12.91
9/14/2017,11.53,11.95
9/15/2017,11.49,12.11
9/18/2017,11.50,11.97
9/19/2017,10.88,11.75
9/20/2017,10.14,12.04
9/21/2017,10.13,11.58
9/22/2017,9.58,12.20
9/25/2017,9.58,12.27
9/26/2017,9.40,12.40
9/27/2017,9.27,11.97
9/28/2017,9.19,11.84
9/29/2017,9.00,11.46
10/2/2017,8.37,11.81
10/3/2017,8.37,11.81
10/4/2017,8.19,12.14
10/5/2017,8.21,11.69
10/6/2017,8.21,12.10
10/9/2017,8.01,12.11
10/10/2017,6.19,12.57
10/11/2017,6.17,12.17
10/12/2017,6.16,11.76
10/13/2017,6.02,11.44
10/16/2017,5.77,11.21
10/17/2017,5.85,11.26
10/18/2017,5.65,10.98
10/19/2017,5.78,12.24
10/20/2017,5.79,12.16
10/23/2017,4.46,12.39
10/24/2017,4.39,12.54
10/25/2017,4.72,14.09
10/26/2017,6.01,12.25
10/27/2017,6.09,11.92
10/30/2017,6.08,12.23
10/31/2017,6.08,12.23
11/1/2017,7.69,11.89
11/2/2017,7.78,12.03
11/3/2017,7.78,12.00
11/6/2017,7.79,12.01
11/7/2017,8.22,12.54
11/8/2017,8.23,12.64
11/9/2017,9.66,14.30
11/10/2017,9.77,14.49
11/13/2017,9.52,14.05
11/14/2017,9.45,14.81
11/15/2017,9.42,15.18
11/16/2017,9.56,14.33
11/17/2017,9.64,14.10
11/20/2017,9.75,13.34
11/21/2017,10.01,12.74
11/22/2017,10.65,13.22
11/23/2017,10.65,13.21
11/24/2017,10.71,13.37
11/27/2017,10.80,14.08
11/28/2017,10.88,13.52
11/29/2017,10.83,14.18
11/30/2017,10.79,14.13
12/1/2017,11.44,16.13
12/4/2017,12.35,14.52
12/5/2017,12.35,14.02
12/6/2017,12.32,14.67
12/7/2017,11.63,14.39
12/8/2017,11.74,13.74
12/11/2017,11.76,13.87
12/12/2017,10.48,13.18
12/13/2017,10.54,13.45
12/14/2017,10.53,13.18
12/15/2017,10.59,12.44
12/18/2017,11.55,11.51
12/19/2017,11.75,12.03
12/20/2017,11.35,13.24
12/21/2017,11.33,12.62
12/22/2017,11.29,12.71
12/25/2017,11.29,12.71
12/26/2017,11.29,12.71
12/27/2017,11.25,13.27
12/28/2017,11.37,14.12
12/29/2017,11.33,14.15
1/1/2018,11.33,14.15
1/2/2018,11.31,13.79
1/3/2018,11.50,12.64
1/4/2018,12.06,12.23
1/5/2018,11.97,12.28
1/8/2018,11.99,12.52
1/9/2018,11.96,12.24
1/10/2018,12.13,12.63
1/11/2018,12.23,12.37
1/12/2018,12.26,12.00
1/15/2018,12.27,12.05
1/16/2018,11.62,12.33
1/17/2018,10.86,12.92
1/18/2018,11.06,12.58
1/19/2018,11.43,12.61
1/22/2018,11.41,12.63
1/23/2018,11.35,12.77
1/24/2018,11.85,13.46
1/25/2018,12.12,13.99
1/26/2018,12.05,13.83
1/29/2018,11.97,14.66
1/30/2018,12.33,15.85
1/31/2018,11.35,16.00
2/1/2018,11.92,17.62
2/2/2018,12.51,19.39
2/5/2018,12.62,19.25
2/6/2018,14.28,25.55
2/7/2018,15.23,20.70
2/8/2018,16.95,26.57
2/9/2018,17.22,40.07
2/12/2018,17.92,28.81
2/13/2018,17.72,25.43
2/14/2018,17.49,20.63
2/15/2018,16.99,20.69
2/16/2018,17.22,18.66
2/19/2018,17.20,19.84
2/20/2018,17.43,19.25
2/21/2018,17.39,19.53
2/22/2018,17.32,19.27
2/23/2018,17.35,18.78
2/26/2018,17.35,17.88
2/27/2018,17.33,18.74
2/28/2018,17.11,19.39
3/1/2018,17.35,21.92
3/2/2018,18.22,24.17
