DATE,TRADING_VOLUME
1/2/2017,250729
1/3/2017,1008193
1/4/2017,793910
1/5/2017,878728
1/6/2017,820118
1/9/2017,744473
1/10/2017,802112
1/11/2017,1065541
1/12/2017,1018949
1/13/2017,887509
1/16/2017,591666
1/17/2017,1194104
1/18/2017,778154
1/19/2017,892302
1/20/2017,997693
1/23/2017,1022075
1/24/2017,710809
1/25/2017,1074146
1/26/2017,862213
1/27/2017,823747
1/30/2017,1015976
1/31/2017,1290927
2/1/2017,1031896
2/2/2017,865667
2/3/2017,835090
2/6/2017,1246904
2/7/2017,946670
2/8/2017,1251459
2/9/2017,1262540
2/10/2017,999692
2/13/2017,985042
2/14/2017,728874
2/15/2017,940048
2/16/2017,1047193
2/17/2017,1160513
2/20/2017,510363
2/21/2017,957137
2/22/2017,1030071
2/23/2017,1182650
2/24/2017,1367504
2/27/2017,842649
2/28/2017,1019044
3/1/2017,1395068
3/2/2017,1049316
3/3/2017,1256192
3/6/2017,908768
3/7/2017,841070
3/8/2017,1795384
3/9/2017,1684775
3/10/2017,2778195
3/13/2017,2809594
3/14/2017,4312699
3/15/2017,3035446
3/16/2017,2790943
3/17/2017,1398532
3/20/2017,601411
3/21/2017,1388143
3/22/2017,1152733
3/23/2017,1099105
3/24/2017,829874
3/27/2017,894440
3/28/2017,936307
3/29/2017,929339
3/30/2017,690460
3/31/2017,1131058
4/3/2017,1142721
4/4/2017,737490
4/5/2017,1026896
4/6/2017,1070527
4/7/2017,941123
4/10/2017,666109
4/11/2017,1337826
4/12/2017,899322
4/13/2017,1043714
4/18/2017,1355302
4/19/2017,957587
4/20/2017,1283592
4/21/2017,1478127
4/24/2017,2267431
4/25/2017,1316412
4/26/2017,1141798
4/27/2017,910429
4/28/2017,1012719
5/2/2017,797512
5/3/2017,704670
5/4/2017,1223415
5/5/2017,1311852
5/8/2017,1188748
5/9/2017,959289
5/10/2017,873152
5/11/2017,1238257
5/12/2017,772654
5/15/2017,749601
5/16/2017,841265
5/17/2017,1603155
5/18/2017,1731405
5/19/2017,1082341
5/22/2017,668252
5/23/2017,860207
5/24/2017,613799
5/25/2017,789388
5/26/2017,774115
5/29/2017,213597
5/30/2017,875472
5/31/2017,1280310
6/1/2017,843198
6/2/2017,1160478
6/5/2017,365331
6/6/2017,1038571
6/7/2017,1314548
6/8/2017,1365802
6/9/2017,1980121
6/12/2017,3177508
6/13/2017,4616266
6/14/2017,3932315
6/15/2017,2677516
6/16/2017,1403522
6/19/2017,733556
6/20/2017,815866
6/21/2017,911172
6/22/2017,725370
6/23/2017,731284
6/26/2017,696837
6/27/2017,901068
6/28/2017,1083273
6/29/2017,1504279
6/30/2017,1258317
7/3/2017,735546
7/4/2017,471033
7/5/2017,754200
7/6/2017,1031715
