DATE,TRADING_VOLUME
1/2/2017,250444.00
1/3/2017,1008127.00
1/4/2017,792383.00
1/5/2017,878646.00
1/6/2017,806065.00
1/9/2017,744407.00
1/10/2017,796906.00
1/11/2017,1065426.00
1/12/2017,1018803.00
1/13/2017,877471.00
1/16/2017,571941.00
1/17/2017,1158090.00
1/18/2017,772737.00
1/19/2017,891246.00
1/20/2017,997482.00
1/23/2017,1021875.00
1/24/2017,706545.00
1/25/2017,1060882.00
1/26/2017,845703.00
1/27/2017,809111.00
1/30/2017,1015441.00
1/31/2017,1288839.00
2/1/2017,1030183.00
2/2/2017,864176.00
2/3/2017,832714.00
2/6/2017,1246502.00
2/7/2017,944097.00
2/8/2017,1247234.00
2/9/2017,1211518.00
2/10/2017,972280.00
2/13/2017,984367.00
2/14/2017,725871.00
2/15/2017,929307.00
2/16/2017,1036598.00
2/17/2017,1154278.00
2/20/2017,507822.00
2/21/2017,928681.00
2/22/2017,1028616.00
2/23/2017,1021575.00
2/24/2017,1344190.00
2/27/2017,835726.00
2/28/2017,1003323.00
3/1/2017,1388496.00
3/2/2017,964680.00
3/3/2017,1224534.00
3/6/2017,860551.00
3/7/2017,810176.00
3/8/2017,1390743.00
3/9/2017,1339265.00
3/10/2017,1959708.00
3/13/2017,1722148.00
3/14/2017,2517380.00
3/15/2017,1785575.00
3/16/2017,1589072.00
3/17/2017,147103.00
3/20/2017,600671.00
3/21/2017,1336682.00
3/22/2017,1152384.00
3/23/2017,1095954.00
3/24/2017,829777.00
3/27/2017,893424.00
3/28/2017,936176.00
3/29/2017,928032.00
3/30/2017,689825.00
3/31/2017,1130962.00
4/3/2017,1142408.00
4/4/2017,737449.00
4/5/2017,1026529.00
4/6/2017,1070407.00
4/7/2017,941024.00
4/10/2017,666059.00
4/11/2017,1337685.00
4/12/2017,899252.00
4/13/2017,1043068.00
4/18/2017,1355202.00
4/19/2017,956082.00
4/20/2017,1283499.00
4/21/2017,1475379.00
4/24/2017,2266634.00
4/25/2017,1315952.00
4/26/2017,1141695.00
4/27/2017,910330.00
4/28/2017,1012654.00
5/2/2017,797458.00
5/3/2017,704613.00
5/4/2017,1222594.00
5/5/2017,1311028.00
5/8/2017,1188506.00
5/9/2017,959025.00
5/10/2017,872970.00
5/11/2017,1235863.00
5/12/2017,769754.00
5/15/2017,744605.00
5/16/2017,839098.00
5/17/2017,1602594.00
5/18/2017,1730781.00
5/19/2017,1077113.00
5/22/2017,665027.00
5/23/2017,856292.00
5/24/2017,607412.00
5/25/2017,788577.00
5/26/2017,771945.00
5/29/2017,213391.00
5/30/2017,860259.00
5/31/2017,1268446.00
6/1/2017,835936.00
6/2/2017,1129713.00
6/5/2017,348764.00
6/6/2017,947862.00
6/7/2017,1122961.00
6/8/2017,1076741.00
6/9/2017,1416823.00
6/12/2017,2023424.00
6/13/2017,2626691.00
6/14/2017,2284962.00
6/15/2017,1486859.00
6/16/2017,218757.00
6/19/2017,723014.00
6/20/2017,808783.00
6/21/2017,886668.00
6/22/2017,725328.00
6/23/2017,724890.00
6/26/2017,684991.00
6/27/2017,900775.00
6/28/2017,1076832.00
6/29/2017,1504087.00
6/30/2017,1258205.00
7/3/2017,735444.00
7/4/2017,463590.00
7/5/2017,754069.00
7/6/2017,1031386.00
7/7/2017,665560.00
7/10/2017,518093.00
7/11/2017,656919.00
7/12/2017,874955.00
7/13/2017,715119.00
7/14/2017,585980.00
7/17/2017,659594.00
7/18/2017,1090945.00
7/19/2017,757237.00
7/20/2017,1166528.00
7/21/2017,1378625.00
7/24/2017,862575.00
7/25/2017,884203.00
7/26/2017,723174.00
7/27/2017,825083.00
7/28/2017,909628.00
7/31/2017,845629.00
8/1/2017,926661.00
8/2/2017,772421.00
8/3/2017,800138.00
8/4/2017,937619.00
8/7/2017,490355.00
8/8/2017,668334.00
8/9/2017,1183719.00
8/10/2017,1120660.00
8/11/2017,1277471.00
8/14/2017,895555.00
8/15/2017,693881.00
8/16/2017,825662.00
8/17/2017,988754.00
8/18/2017,1263190.00
8/21/2017,808773.00
8/22/2017,654364.00
8/23/2017,745451.00
8/24/2017,659816.00
8/25/2017,667103.00
8/28/2017,530348.00
8/29/2017,1263292.00
8/30/2017,794720.00
8/31/2017,904355.00
9/1/2017,836507.00
9/4/2017,403035.00
9/5/2017,976316.00
9/6/2017,999806.00
9/7/2017,1521843.00
9/8/2017,1157442.00
9/11/2017,1931066.00
9/12/2017,2385652.00
9/13/2017,1961481.00
9/14/2017,1262016.00
9/15/2017,139915.00
9/18/2017,551416.00
9/19/2017,599529.00
9/20/2017,655232.00
9/21/2017,671468.00
9/22/2017,566278.00
9/25/2017,666241.00
9/26/2017,720453.00
9/27/2017,811238.00
9/28/2017,628286.00
9/29/2017,927462.00
10/2/2017,756958.00
10/3/2017,350423.00
10/4/2017,721363.00
10/5/2017,625568.00
10/6/2017,645149.00
10/9/2017,459785.00
10/10/2017,765499.00
10/11/2017,647054.00
10/12/2017,483298.00
10/13/2017,655193.00
10/16/2017,503873.00
10/17/2017,645133.00
10/18/2017,628257.00
10/19/2017,1138824.00
10/20/2017,744235.00
10/23/2017,683176.00
10/24/2017,675236.00
10/25/2017,1033600.00
10/26/2017,1390993.00
10/27/2017,1356136.00
10/30/2017,654312.00
10/31/2017,597760.00
11/1/2017,1072519.00
11/2/2017,906785.00
11/3/2017,708974.00
11/6/2017,631376.00
11/7/2017,1088320.00
11/8/2017,1035830.00
11/9/2017,1619361.00
11/10/2017,1181296.00
11/13/2017,1145162.00
11/14/2017,1043749.00
11/15/2017,1353100.00
11/16/2017,992582.00
11/17/2017,951137.00
11/20/2017,916183.00
11/21/2017,1047662.00
11/22/2017,857753.00
11/23/2017,984455.00
11/24/2017,948330.00
11/27/2017,902920.00
11/28/2017,837243.00
11/29/2017,1126795.00
11/30/2017,1284863.00
12/1/2017,1927688.00
12/4/2017,1021799.00
12/5/2017,915281.00
12/6/2017,1108835.00
12/7/2017,1006587.00
12/8/2017,1260836.00
12/11/2017,1795348.00
12/12/2017,2202435.00
12/13/2017,1889555.00
12/14/2017,1135538.00
12/15/2017,130635.00
12/18/2017,815351.00
12/19/2017,657083.00
12/20/2017,782051.00
12/21/2017,612743.00
12/22/2017,354728.00
12/27/2017,341766.00
12/28/2017,421828.00
12/29/2017,565331.00
1/2/2018,831953.00
1/3/2018,797688.00
1/4/2018,1114455.00
1/5/2018,1000116.00
1/8/2018,793283.00
1/9/2018,776894.00
1/10/2018,1116372.00
1/11/2018,899364.00
1/12/2018,853859.00
1/15/2018,516811.00
1/16/2018,1008835.00
1/17/2018,1024348.00
1/18/2018,996061.00
1/19/2018,1028582.00
1/22/2018,733991.00
1/23/2018,865657.00
1/24/2018,878715.00
1/25/2018,1098963.00
1/26/2018,694116.00
1/29/2018,627345.00
1/30/2018,1070325.00
1/31/2018,972171.00
2/1/2018,1354670.00
2/2/2018,1492755.00
2/5/2018,1799391.00
2/6/2018,3346136.00
2/7/2018,1864929.00
2/8/2018,2037322.00
2/9/2018,2575043.00
2/12/2018,1427479.00
2/13/2018,1301762.00
2/14/2018,1582485.00
2/15/2018,1252944.00
2/16/2018,1246745.00
2/19/2018,494449.00
2/20/2018,887500.00
2/21/2018,788481.00
2/22/2018,1011764.00
2/23/2018,728695.00
2/26/2018,692313.00
2/27/2018,1009866.00
2/28/2018,1098876.00
3/1/2018,1644296.00
3/2/2018,1569720.00
3/5/2018,1263601.00
3/6/2018,1168786.00
3/7/2018,1398747.00
3/8/2018,1625613.00
3/9/2018,1370794.00
3/12/2018,1717607.00
3/13/2018,2793262.00
3/14/2018,2031718.00
3/15/2018,1124142.00
3/16/2018,152995.00
3/19/2018,1037274.00
3/20/2018,852863.00
3/21/2018,964874.00
3/22/2018,1598930.00
3/23/2018,1737145.00
3/26/2018,1200386.00
3/27/2018,1148112.00
3/28/2018,1559183.00
3/29/2018,1198726.00
4/3/2018,1068741.00
4/4/2018,1223345.00
4/5/2018,1296517.00
4/6/2018,1071959.00
4/9/2018,913014.00
4/10/2018,906556.00
4/11/2018,830461.00
4/12/2018,813739.00
4/13/2018,850421.00
4/16/2018,743655.00
4/17/2018,1019595.00
4/18/2018,946801.00
4/19/2018,870924.00
4/20/2018,863858.00
4/23/2018,726181.00
4/24/2018,886199.00
4/25/2018,1064054.00
4/26/2018,863951.00
4/27/2018,784515.00
4/30/2018,846249.00
5/2/2018,981054.00
5/3/2018,899397.00
5/4/2018,824296.00
5/7/2018,542754.00
5/8/2018,760982.00
5/9/2018,751399.00
5/10/2018,654183.00
5/11/2018,630917.00
5/14/2018,692709.00
5/15/2018,836078.00
5/16/2018,957013.00
5/17/2018,1032007.00
5/18/2018,1157565.00
5/21/2018,472331.00
5/22/2018,908802.00
5/23/2018,1441552.00
5/24/2018,1130383.00
5/25/2018,1246231.00
5/28/2018,714179.00
5/29/2018,2051376.00
5/30/2018,1551339.00
5/31/2018,1680332.00
6/1/2018,1320776.00
6/4/2018,887635.00
6/5/2018,1194293.00
6/6/2018,1402484.00
6/7/2018,1240897.00
6/8/2018,1641617.00
6/11/2018,1994981.00
6/12/2018,2909400.00
6/13/2018,1818620.00
6/14/2018,1324065.00
6/15/2018,213002.00
6/18/2018,948709.00
6/19/2018,1157220.00
6/20/2018,877004.00
6/21/2018,1082448.00
6/22/2018,839305.00
6/25/2018,999924.00
6/26/2018,882022.00
6/27/2018,1466357.00
6/28/2018,1191558.00
6/29/2018,1199288.00
7/2/2018,912513.00
7/3/2018,814004.00
7/4/2018,376915.00
7/5/2018,1042694.00
7/6/2018,821900.00
7/9/2018,614926.00
7/10/2018,793040.00
7/11/2018,922160.00
7/12/2018,826972.00
7/13/2018,684877.00
7/16/2018,663545.00
7/17/2018,885720.00
7/18/2018,891819.00
7/19/2018,767544.00
7/20/2018,1145502.00
7/23/2018,707828.00
7/24/2018,973828.00
7/25/2018,852834.00
7/26/2018,857881.00
7/27/2018,663408.00
7/30/2018,583478.00
7/31/2018,1028223.00
8/1/2018,837336.00
8/2/2018,1109133.00
8/3/2018,698756.00
8/6/2018,639550.00
8/7/2018,627670.00
8/8/2018,655170.00
8/9/2018,580116.00
8/10/2018,1413817.00
8/13/2018,864551.00
8/14/2018,767778.00
8/15/2018,1235240.00
8/16/2018,864345.00
8/17/2018,913974.00
8/20/2018,627787.00
8/21/2018,629212.00
8/22/2018,611213.00
8/23/2018,516284.00
8/24/2018,528588.00
8/27/2018,523231.00
8/28/2018,593358.00
8/29/2018,598361.00
8/30/2018,812580.00
8/31/2018,1058804.00
9/3/2018,474248.00
9/4/2018,1187177.00
9/5/2018,1302524.00
9/6/2018,1251132.00
9/7/2018,1173844.00
9/10/2018,857542.00
9/11/2018,1042606.00
9/12/2018,1183537.00
9/13/2018,1116040.00
9/14/2018,1018653.00
9/17/2018,1881436.00
9/18/2018,2169915.00
9/19/2018,1515699.00
9/20/2018,1419907.00
9/21/2018,214933.00
9/24/2018,632778.00
9/25/2018,560940.00
9/26/2018,683130.00
9/27/2018,804640.00
9/28/2018,1483555.00
10/1/2018,731423.00
10/2/2018,972026.00
10/3/2018,677097.00
10/4/2018,1067406.00
10/5/2018,1023710.00
10/8/2018,967668.00
10/9/2018,1151493.00
10/10/2018,1372049.00
10/11/2018,2410990.00
10/12/2018,1455040.00
10/15/2018,997491.00
10/16/2018,1139854.00
10/17/2018,1145683.00
10/18/2018,1350541.00
10/19/2018,1470288.00
10/22/2018,1018099.00
10/23/2018,1757652.00
10/24/2018,1441734.00
10/25/2018,1680431.00
10/26/2018,1913783.00
10/29/2018,1409098.00
10/30/2018,1317799.00
10/31/2018,1427483.00
11/1/2018,1217839.00
11/2/2018,1262563.00
11/5/2018,687019.00
11/6/2018,809160.00
11/7/2018,986370.00
11/8/2018,884236.00
11/9/2018,999196.00
11/12/2018,1005702.00
11/13/2018,1123299.00
11/14/2018,1375879.00
11/15/2018,1428755.00
11/16/2018,1286692.00
11/19/2018,915255.00
11/20/2018,1538606.00
11/21/2018,1120657.00
11/22/2018,658089.00
11/23/2018,723817.00
11/26/2018,993240.00
11/27/2018,929272.00
11/28/2018,911094.00
11/29/2018,1026562.00
11/30/2018,986633.00
