regional_timestamp,VOLATILITY_30D
1/3/2017,10.90
1/4/2017,10.71
1/5/2017,10.75
1/6/2017,10.76
1/9/2017,10.16
1/10/2017,10.15
1/11/2017,10.17
1/12/2017,10.14
1/13/2017,10.14
1/16/2017,10.39
1/17/2017,9.69
1/18/2017,9.05
1/19/2017,8.25
1/20/2017,8.23
1/23/2017,8.67
1/24/2017,8.01
1/25/2017,8.50
1/26/2017,7.89
1/27/2017,8.03
1/30/2017,8.90
1/31/2017,9.14
2/1/2017,9.52
2/2/2017,9.53
2/3/2017,9.70
2/6/2017,10.20
2/7/2017,10.20
2/8/2017,10.19
2/9/2017,10.72
2/10/2017,10.59
2/13/2017,11.06
2/14/2017,11.06
2/15/2017,11.15
2/16/2017,11.20
2/17/2017,11.15
2/20/2017,11.15
2/21/2017,11.40
2/22/2017,11.21
2/23/2017,10.71
2/24/2017,10.71
2/27/2017,10.67
2/28/2017,10.68
3/1/2017,12.35
3/2/2017,12.36
3/3/2017,12.12
3/6/2017,12.24
3/7/2017,11.63
3/8/2017,11.60
3/9/2017,11.57
3/10/2017,10.79
3/13/2017,10.21
3/14/2017,10.18
3/15/2017,10.14
3/16/2017,10.30
3/17/2017,9.55
3/20/2017,9.64
3/21/2017,9.73
3/22/2017,9.28
3/23/2017,9.49
3/24/2017,9.18
3/27/2017,9.24
3/28/2017,9.41
3/29/2017,9.28
3/30/2017,9.25
3/31/2017,9.32
4/3/2017,9.57
4/4/2017,9.57
4/5/2017,9.60
4/6/2017,9.09
4/7/2017,9.09
4/10/2017,9.27
4/11/2017,7.15
4/12/2017,7.12
4/13/2017,7.24
4/18/2017,7.91
4/19/2017,7.96
4/20/2017,8.10
4/21/2017,7.92
4/24/2017,14.06
4/25/2017,14.05
4/26/2017,13.94
4/27/2017,14.06
4/28/2017,13.88
5/1/2017,13.88
5/2/2017,13.87
5/3/2017,13.82
5/4/2017,14.08
5/5/2017,14.05
5/8/2017,14.13
5/9/2017,14.07
5/10/2017,13.97
5/11/2017,14.16
5/12/2017,14.18
5/15/2017,14.13
5/16/2017,13.83
5/17/2017,14.78
5/18/2017,14.90
5/19/2017,14.97
5/22/2017,15.01
5/23/2017,14.97
5/24/2017,14.96
5/25/2017,14.96
5/26/2017,14.83
5/29/2017,14.32
5/30/2017,14.45
5/31/2017,14.42
6/1/2017,14.43
6/2/2017,8.67
6/5/2017,8.72
6/6/2017,8.97
6/7/2017,8.89
6/8/2017,8.98
6/9/2017,9.17
6/12/2017,9.71
6/13/2017,9.77
6/14/2017,9.08
6/15/2017,8.74
6/16/2017,8.89
6/19/2017,9.45
6/20/2017,9.55
6/21/2017,9.41
6/22/2017,9.32
6/23/2017,9.33
6/26/2017,9.50
6/27/2017,8.49
6/28/2017,8.30
6/29/2017,9.61
6/30/2017,9.85
7/3/2017,10.77
7/4/2017,10.79
7/5/2017,10.79
7/6/2017,10.84
7/7/2017,10.85
7/10/2017,10.89
7/11/2017,10.93
7/12/2017,11.80
7/13/2017,11.65
7/14/2017,11.62
7/17/2017,11.46
7/18/2017,11.87
7/19/2017,11.96
7/20/2017,11.77
7/21/2017,11.95
7/24/2017,11.87
7/25/2017,12.03
7/26/2017,12.03
7/27/2017,11.91
7/28/2017,11.61
7/31/2017,11.61
8/1/2017,11.93
8/2/2017,12.00
8/3/2017,12.01
8/4/2017,12.47
8/7/2017,12.32
8/8/2017,12.36
8/9/2017,11.77
8/10/2017,11.88
8/11/2017,11.22
8/14/2017,11.91
8/15/2017,11.96
8/16/2017,12.04
8/17/2017,12.20
8/18/2017,12.21
8/21/2017,12.31
8/22/2017,11.81
8/23/2017,11.80
8/24/2017,11.83
8/25/2017,11.82
8/28/2017,11.49
8/29/2017,11.60
8/30/2017,11.72
8/31/2017,11.16
9/1/2017,11.35
9/4/2017,11.25
9/5/2017,11.14
9/6/2017,11.21
9/7/2017,11.10
9/8/2017,10.98
9/11/2017,11.48
9/12/2017,11.44
9/13/2017,11.46
9/14/2017,10.92
9/15/2017,10.96
9/18/2017,10.97
9/19/2017,10.13
9/20/2017,9.60
9/21/2017,9.23
9/22/2017,8.51
9/25/2017,8.49
9/26/2017,8.30
9/27/2017,8.13
9/28/2017,7.96
9/29/2017,7.90
10/2/2017,7.54
10/3/2017,7.28
10/4/2017,7.41
10/5/2017,7.42
10/6/2017,7.25
10/9/2017,6.33
10/10/2017,6.49
10/11/2017,6.41
10/12/2017,6.27
10/13/2017,6.06
10/16/2017,5.92
10/17/2017,5.90
10/18/2017,5.88
10/19/2017,6.18
10/20/2017,4.89
10/23/2017,4.74
10/24/2017,4.70
10/25/2017,5.05
10/26/2017,6.07
10/27/2017,6.11
10/30/2017,6.12
10/31/2017,6.08
11/1/2017,6.22
11/2/2017,6.32
11/3/2017,6.28
11/6/2017,6.35
11/7/2017,6.64
11/8/2017,6.65
11/9/2017,7.20
11/10/2017,7.35
11/13/2017,7.51
11/14/2017,7.61
11/15/2017,7.45
11/16/2017,7.62
11/17/2017,7.70
11/20/2017,7.77
11/21/2017,7.90
11/22/2017,8.01
11/23/2017,8.06
11/24/2017,8.10
11/27/2017,8.22
11/28/2017,8.33
11/29/2017,8.23
11/30/2017,8.39
12/1/2017,9.06
12/4/2017,10.05
12/5/2017,9.93
12/6/2017,9.12
12/7/2017,9.08
12/8/2017,9.19
12/11/2017,9.12
12/12/2017,9.04
12/13/2017,9.12
12/14/2017,9.29
12/15/2017,9.31
12/18/2017,10.16
12/19/2017,10.38
12/20/2017,10.09
12/21/2017,10.12
12/22/2017,10.10
12/27/2017,9.99
12/28/2017,10.19
12/29/2017,10.17
1/2/2018,10.14
1/3/2018,10.22
1/4/2018,11.34
1/5/2018,11.70
1/8/2018,11.70
1/9/2018,11.68
1/10/2018,11.64
1/11/2018,11.61
1/12/2018,11.68
1/15/2018,11.55
1/16/2018,10.91
1/17/2018,10.20
1/18/2018,10.20
1/19/2018,10.38
1/22/2018,10.41
1/23/2018,10.33
1/24/2018,10.62
1/25/2018,10.60
1/26/2018,10.54
1/29/2018,10.28
1/30/2018,10.77
1/31/2018,9.97
2/1/2018,10.07
2/2/2018,10.79
2/5/2018,11.27
2/6/2018,13.25
2/7/2018,14.42
2/8/2018,15.72
2/9/2018,16.21
2/12/2018,16.76
2/13/2018,16.74
2/14/2018,16.08
2/15/2018,15.78
2/16/2018,16.21
2/19/2018,16.20
2/20/2018,16.47
2/21/2018,16.46
2/22/2018,16.35
2/23/2018,16.40
2/26/2018,16.52
2/27/2018,16.52
2/28/2018,16.52
3/1/2018,16.50
3/2/2018,17.37
3/5/2018,17.70
3/6/2018,17.67
3/7/2018,17.86
3/8/2018,18.16
3/9/2018,18.21
3/12/2018,18.09
3/13/2018,18.22
3/14/2018,18.10
3/15/2018,17.78
3/16/2018,17.56
3/19/2018,16.37
3/20/2018,15.55
3/21/2018,13.98
3/22/2018,14.02
3/23/2018,14.20
3/26/2018,14.10
3/27/2018,14.31
3/28/2018,14.26
3/29/2018,14.13
4/3/2018,14.09
4/4/2018,13.84
4/5/2018,16.09
4/6/2018,16.20
4/9/2018,16.19
4/10/2018,16.22
4/11/2018,16.29
4/12/2018,16.36
4/13/2018,15.96
4/16/2018,14.36
4/17/2018,14.45
4/18/2018,14.47
4/19/2018,14.42
4/20/2018,14.12
4/23/2018,14.18
4/24/2018,14.18
4/25/2018,14.05
4/26/2018,14.09
4/27/2018,14.01
4/30/2018,13.95
5/1/2018,13.32
5/2/2018,13.32
5/3/2018,13.48
5/4/2018,12.48
5/7/2018,11.30
5/8/2018,11.08
5/9/2018,10.74
5/10/2018,10.75
5/11/2018,10.60
5/14/2018,10.43
5/15/2018,10.39
5/16/2018,7.19
5/17/2018,7.06
5/18/2018,7.36
5/21/2018,7.19
5/22/2018,6.91
5/23/2018,7.93
5/24/2018,8.18
5/25/2018,8.17
5/28/2018,8.11
5/29/2018,9.31
5/30/2018,9.40
5/31/2018,9.79
6/1/2018,10.56
6/4/2018,10.68
6/5/2018,10.52
6/6/2018,10.37
6/7/2018,10.29
6/8/2018,10.18
6/11/2018,10.64
6/12/2018,10.50
6/13/2018,10.34
6/14/2018,11.00
6/15/2018,11.07
6/18/2018,11.50
6/19/2018,11.68
6/20/2018,11.70
6/21/2018,12.02
6/22/2018,12.61
6/25/2018,13.96
6/26/2018,13.96
6/27/2018,13.97
6/28/2018,14.12
6/29/2018,14.49
7/2/2018,14.45
7/3/2018,14.51
7/4/2018,14.47
7/5/2018,14.75
7/6/2018,14.53
7/9/2018,13.75
