Dates,HIST_CALL_IMP_VOL,HIST_PUT_IMP_VOL,,,,,,
1/2/2017,16.77,16.77,,,,,,
1/3/2017,16.27,16.27,,,,,,
1/4/2017,15.54,15.54,,,,,,
1/5/2017,15.01,15.01,,,,,,
1/6/2017,14.33,14.33,,,,,,
1/9/2017,14.19,14.19,,,,,,
1/10/2017,13.91,13.91,,,,,,
1/11/2017,14.16,14.16,,,,,,
1/12/2017,14.72,14.72,,,,,,
1/13/2017,13.51,13.51,,,,,,
1/16/2017,13.95,13.95,,,,,,
1/17/2017,14.27,14.27,,,,,,
1/18/2017,13.44,13.44,,,,,,
1/19/2017,13.13,13.13,,,,,,
1/20/2017,12.39,12.39,,,,,,
1/23/2017,15.72,15.72,,,,,,
1/24/2017,15.27,15.27,,,,,,
1/25/2017,14.64,14.64,,,,,,
1/26/2017,14.78,14.78,,,,,,
1/27/2017,14.88,14.88,,,,,,
1/30/2017,15.82,15.82,,,,,,
1/31/2017,15.63,15.63,,,,,,
2/1/2017,15.05,15.05,,,,,,
2/2/2017,14.60,14.60,,,,,,
2/3/2017,13.67,13.67,,,,,,
2/6/2017,14.74,14.74,,,,,,
2/7/2017,15.06,15.06,,,,,,
2/8/2017,14.91,14.91,,,,,,
2/9/2017,13.45,13.45,,,,,,
2/10/2017,13.42,13.42,,,,,,
2/13/2017,12.88,12.88,,,,,,
2/14/2017,12.95,12.95,,,,,,
2/15/2017,13.12,13.12,,,,,,
2/16/2017,13.67,13.67,,,,,,
2/17/2017,13.11,13.11,,,,,,
2/20/2017,13.88,13.88,,,,,,
2/21/2017,13.50,13.50,,,,,,
2/22/2017,13.82,13.82,,,,,,
2/23/2017,14.35,14.35,,,,,,
2/24/2017,14.88,14.88,,,,,,
2/27/2017,14.70,14.70,,,,,,
2/28/2017,14.86,14.86,,,,,,
3/1/2017,14.11,14.11,,,,,,
3/2/2017,14.30,14.30,,,,,,
3/3/2017,14.11,14.11,,,,,,
3/6/2017,14.37,14.37,,,,,,
3/7/2017,13.88,13.88,,,,,,
3/8/2017,13.52,13.52,,,,,,
3/9/2017,13.69,13.69,,,,,,
3/10/2017,13.77,13.77,,,,,,
3/13/2017,14.00,14.00,,,,,,
3/14/2017,14.20,14.20,,,,,,
3/15/2017,13.90,13.90,,,,,,
3/16/2017,12.93,12.93,,,,,,
3/17/2017,12.32,12.32,,,,,,
3/20/2017,12.34,12.34,,,,,,
3/21/2017,12.83,12.83,,,,,,
3/22/2017,13.09,13.09,,,,,,
3/23/2017,17.88,17.88,,,,,,
3/24/2017,17.96,17.96,,,,,,
3/27/2017,18.44,18.44,,,,,,
3/28/2017,17.52,17.52,,,,,,
3/29/2017,17.51,17.51,,,,,,
3/30/2017,17.61,17.61,,,,,,
3/31/2017,17.54,17.54,,,,,,
4/3/2017,18.13,18.13,,,,,,
4/4/2017,17.65,17.65,,,,,,
4/5/2017,17.73,17.73,,,,,,
4/6/2017,17.96,17.96,,,,,,
4/7/2017,18.45,18.45,,,,,,
4/10/2017,20.58,20.58,,,,,,
4/11/2017,21.36,21.36,,,,,,
4/12/2017,21.04,21.04,,,,,,
4/13/2017,21.63,21.63,,,,,,
4/18/2017,23.57,23.57,,,,,,
4/19/2017,22.58,22.58,,,,,,
4/20/2017,22.93,22.93,,,,,,
4/21/2017,23.23,23.23,,,,,,
4/24/2017,14.39,14.39,,,,,,
4/25/2017,13.60,13.60,,,,,,
4/26/2017,13.18,13.18,,,,,,
4/27/2017,13.20,13.20,,,,,,
4/28/2017,13.73,13.73,,,,,,
5/2/2017,13.95,13.95,,,,,,
5/3/2017,13.93,13.93,,,,,,
5/4/2017,13.51,13.51,,,,,,
5/5/2017,13.73,13.73,,,,,,
5/8/2017,12.70,12.70,,,,,,
5/9/2017,12.56,12.56,,,,,,
5/10/2017,12.39,12.39,,,,,,
5/11/2017,12.41,12.41,,,,,,
5/12/2017,12.12,12.12,,,,,,
5/15/2017,12.22,12.22,,,,,,
5/16/2017,11.66,11.66,,,,,,
