Dates,VOLATILITY_30D,PX_LAST
1/2/2017,11.30,15.48
1/3/2017,11.57,14.17
1/4/2017,11.26,13.04
1/5/2017,11.33,13.64
1/6/2017,11.47,12.74
1/9/2017,11.47,12.53
1/10/2017,11.42,12.31
1/11/2017,11.41,11.94
1/12/2017,10.59,12.78
1/13/2017,9.07,12.15
1/16/2017,9.07,12.15
1/17/2017,9.20,12.01
1/18/2017,9.01,11.33
1/19/2017,9.05,12.68
1/20/2017,8.35,11.59
1/23/2017,8.35,11.29
1/24/2017,8.31,10.45
1/25/2017,8.48,10.23
1/26/2017,7.81,11.17
1/27/2017,7.69,10.53
1/30/2017,8.16,11.13
1/31/2017,8.10,11.19
2/1/2017,8.23,10.50
2/2/2017,8.23,11.73
2/3/2017,8.21,10.51
2/6/2017,8.10,10.26
2/7/2017,8.11,10.13
2/8/2017,8.04,9.82
2/9/2017,7.48,10.67
2/10/2017,7.40,10.37
2/13/2017,6.22,10.14
2/14/2017,5.82,9.43
2/15/2017,5.86,10.78
2/16/2017,5.83,10.91
2/17/2017,5.56,10.20
2/20/2017,5.56,10.20
2/21/2017,5.60,10.10
2/22/2017,5.63,10.02
2/23/2017,5.88,11.48
2/24/2017,5.78,10.89
2/27/2017,5.77,10.63
2/28/2017,5.79,11.03
3/1/2017,6.44,10.34
3/2/2017,6.75,10.95
3/3/2017,6.75,9.94
3/6/2017,6.87,9.75
3/7/2017,6.77,9.60
3/8/2017,6.28,9.40
3/9/2017,6.28,10.50
3/10/2017,6.33,9.88
3/13/2017,5.69,9.56
3/14/2017,5.68,9.73
3/15/2017,5.62,9.15
3/16/2017,5.61,9.85
3/17/2017,5.65,9.36
3/20/2017,5.65,8.69
3/21/2017,7.50,10.43
3/22/2017,7.68,10.56
3/23/2017,7.72,11.98
3/24/2017,7.70,11.33
3/27/2017,7.56,10.77
3/28/2017,7.71,10.00
3/29/2017,7.63,9.40
3/30/2017,7.62,10.41
3/31/2017,7.55,10.81
4/3/2017,7.45,10.71
4/4/2017,7.45,10.22
4/5/2017,7.47,10.96
4/6/2017,7.46,11.66
4/7/2017,7.46,11.82
4/10/2017,7.38,12.12
4/11/2017,6.72,12.74
4/12/2017,6.64,12.93
4/13/2017,6.75,14.15
4/14/2017,6.75,14.15
4/17/2017,7.18,12.72
4/18/2017,7.17,12.59
4/19/2017,7.17,12.50
4/20/2017,7.54,12.51
4/21/2017,7.47,12.49
4/24/2017,8.24,9.80
4/25/2017,8.41,9.50
4/26/2017,8.28,9.41
4/27/2017,8.38,9.90
4/28/2017,8.37,9.44
5/1/2017,8.64,9.73
5/2/2017,6.99,9.83
5/3/2017,7.01,9.59
5/4/2017,6.92,10.13
5/5/2017,6.94,10.05
5/8/2017,6.94,9.29
5/9/2017,6.83,9.71
5/10/2017,6.79,9.34
5/11/2017,6.84,10.65
5/12/2017,6.82,10.23
5/15/2017,6.79,9.66
5/16/2017,6.81,9.19
5/17/2017,10.52,13.41
5/18/2017,10.73,13.37
5/19/2017,10.76,11.62
5/22/2017,10.95,10.50
5/23/2017,10.80,10.18
5/24/2017,10.67,9.75
5/25/2017,10.63,10.99
5/26/2017,10.47,10.58
5/29/2017,10.47,10.58
5/30/2017,10.42,10.55
5/31/2017,10.47,10.42
6/1/2017,10.34,11.08
6/2/2017,10.64,10.98
6/5/2017,10.27,10.86
6/6/2017,10.30,11.45
6/7/2017,10.26,11.26
6/8/2017,10.21,11.93
6/9/2017,12.94,15.97
6/12/2017,12.89,14.43
6/13/2017,13.05,12.71
6/14/2017,13.09,13.27
6/15/2017,13.18,14.43
6/16/2017,13.19,14.77
6/19/2017,13.99,12.80
6/20/2017,14.20,13.50
6/21/2017,14.48,12.59
6/22/2017,14.47,13.86
6/23/2017,14.50,13.36
6/26/2017,14.56,13.82
6/27/2017,15.58,15.25
6/28/2017,14.10,13.75
6/29/2017,14.97,17.45
6/30/2017,14.91,16.26
7/3/2017,14.90,17.09
7/4/2017,14.90,17.09
7/5/2017,15.19,15.21
7/6/2017,15.32,17.19
7/7/2017,15.45,15.68
7/10/2017,15.59,15.08
7/11/2017,15.61,14.56
7/12/2017,16.06,13.22
7/13/2017,16.01,13.51
7/14/2017,15.82,12.58
7/17/2017,15.82,12.75
7/18/2017,15.92,12.09
7/19/2017,15.99,12.03
7/20/2017,15.99,13.20
7/21/2017,14.01,13.03
7/24/2017,13.85,12.63
7/25/2017,13.75,11.69
7/26/2017,13.66,11.42
7/27/2017,13.71,13.84
7/28/2017,13.66,13.58
7/31/2017,13.01,13.35
8/1/2017,12.74,12.57
8/2/2017,12.47,12.18
8/3/2017,12.55,13.45
8/4/2017,12.51,12.51
8/7/2017,12.50,11.65
8/8/2017,10.99,12.34
8/9/2017,10.28,11.99
8/10/2017,11.16,16.96
8/11/2017,11.32,15.65
8/14/2017,11.43,13.06
8/15/2017,11.21,12.30
8/16/2017,10.72,11.76
8/17/2017,12.35,16.90
8/18/2017,12.22,15.82
8/21/2017,12.21,15.22
8/22/2017,12.49,12.88
8/23/2017,12.54,13.35
8/24/2017,12.36,14.58
8/25/2017,12.38,14.10
8/28/2017,12.22,13.19
8/29/2017,12.14,12.94
8/30/2017,12.68,12.15
8/31/2017,12.98,12.72
9/1/2017,12.95,12.47
9/4/2017,12.95,12.47
9/5/2017,13.25,13.22
9/6/2017,13.24,12.39
9/7/2017,13.14,13.21
9/8/2017,13.40,13.84
9/11/2017,13.72,11.93
9/12/2017,13.72,11.39
9/13/2017,13.70,10.75
9/14/2017,13.77,12.28
9/15/2017,13.79,11.27
9/18/2017,13.70,11.40
9/19/2017,13.70,10.97
9/20/2017,13.73,10.86
9/21/2017,12.00,12.35
9/22/2017,11.82,12.40
9/25/2017,11.66,13.57
9/26/2017,11.69,13.07
9/27/2017,12.04,12.81
9/28/2017,10.18,13.53
9/29/2017,10.37,12.45
10/2/2017,10.36,11.98
10/3/2017,9.45,11.37
10/4/2017,9.35,11.00
10/5/2017,9.63,11.43
10/6/2017,9.58,11.39
10/9/2017,9.60,11.59
10/10/2017,9.56,11.42
10/11/2017,8.97,10.87
10/12/2017,8.60,12.11
10/13/2017,8.66,11.36
10/16/2017,8.14,11.32
10/17/2017,8.11,10.99
10/18/2017,8.13,10.75
10/19/2017,7.72,12.25
10/20/2017,7.06,11.66
10/23/2017,7.38,12.65
10/24/2017,7.39,12.31
10/25/2017,7.26,12.96
10/26/2017,7.28,13.75
10/27/2017,11.17,12.74
10/30/2017,11.17,12.81
10/31/2017,11.11,12.59
11/1/2017,10.84,12.37
11/2/2017,10.88,13.06
11/3/2017,10.36,12.04
11/6/2017,10.37,11.36
