Date,VOLATILITY_30D_SnP,VIX_Price
1/2/2017,7.60,14.04
1/3/2017,7.86,12.85
1/4/2017,7.75,11.85
1/5/2017,7.76,11.67
1/6/2017,7.80,11.32
1/9/2017,7.87,11.56
1/10/2017,7.65,11.49
1/11/2017,7.66,11.26
1/12/2017,7.64,11.54
1/13/2017,7.51,11.23
1/16/2017,7.51,11.23
1/17/2017,7.61,11.87
1/18/2017,7.48,12.48
1/19/2017,7.57,12.78
1/20/2017,6.60,11.54
1/23/2017,6.64,11.77
1/24/2017,6.70,11.07
1/25/2017,7.06,10.81
1/26/2017,6.83,10.63
1/27/2017,6.31,10.58
1/30/2017,6.53,11.88
1/31/2017,6.51,11.99
2/1/2017,6.49,11.81
2/2/2017,6.41,11.93
2/3/2017,6.69,10.97
2/6/2017,6.70,11.37
2/7/2017,6.70,11.29
2/8/2017,6.67,11.45
2/9/2017,6.28,10.88
2/10/2017,6.32,10.85
2/13/2017,6.19,11.07
2/14/2017,5.85,10.74
2/15/2017,5.80,11.97
2/16/2017,5.80,11.76
2/17/2017,5.76,11.49
2/20/2017,5.76,11.49
2/21/2017,5.75,11.57
2/22/2017,5.79,11.74
2/23/2017,5.78,11.71
2/24/2017,5.68,11.47
2/27/2017,5.68,12.09
2/28/2017,5.65,12.92
3/1/2017,6.72,12.54
3/2/2017,6.92,11.81
3/3/2017,6.91,10.96
3/6/2017,6.95,11.24
3/7/2017,6.91,11.45
3/8/2017,6.67,11.86
3/9/2017,6.64,12.30
3/10/2017,6.65,11.66
3/13/2017,6.28,11.35
3/14/2017,6.40,12.30
3/15/2017,6.73,11.63
3/16/2017,6.79,11.21
3/17/2017,6.60,11.28
3/20/2017,6.60,11.34
3/21/2017,7.76,12.47
3/22/2017,7.77,12.81
3/23/2017,7.64,13.12
3/24/2017,7.59,12.96
3/27/2017,7.45,12.50
3/28/2017,7.66,11.53
3/29/2017,7.53,11.42
3/30/2017,7.57,11.54
3/31/2017,7.59,12.37
4/3/2017,7.39,12.38
4/4/2017,7.38,11.79
4/5/2017,7.44,12.89
4/6/2017,7.45,12.39
4/7/2017,7.44,12.87
4/10/2017,7.41,14.05
4/11/2017,6.08,15.07
4/12/2017,5.94,15.77
4/13/2017,6.22,15.96
4/14/2017,6.22,15.96
4/17/2017,6.77,14.66
4/18/2017,6.77,14.42
4/19/2017,6.76,14.93
4/20/2017,7.15,14.15
4/21/2017,7.12,14.63
4/24/2017,7.87,10.84
4/25/2017,7.99,10.76
4/26/2017,7.60,10.85
4/27/2017,7.59,10.36
4/28/2017,7.60,10.82
5/1/2017,7.58,10.11
5/2/2017,6.48,10.59
5/3/2017,6.50,10.68
5/4/2017,6.48,10.46
5/5/2017,6.54,10.57
5/8/2017,6.52,9.77
5/9/2017,6.23,9.96
5/10/2017,6.23,10.21
5/11/2017,6.24,10.60
5/12/2017,6.21,10.40
5/15/2017,6.31,10.42
5/16/2017,6.33,10.65
5/17/2017,8.44,15.59
5/18/2017,8.50,14.66
5/19/2017,8.72,12.04
5/22/2017,8.83,10.93
5/23/2017,8.82,10.72
5/24/2017,8.73,10.02
5/25/2017,8.45,9.99
5/26/2017,8.14,9.81
5/29/2017,8.14,9.81
5/30/2017,8.08,10.38
5/31/2017,8.05,10.41
6/1/2017,8.05,9.89
6/2/2017,7.99,9.75
6/5/2017,7.46,10.07
6/6/2017,7.36,10.45
6/7/2017,7.35,10.39
6/8/2017,7.35,10.16
6/9/2017,7.33,10.70
6/12/2017,7.34,11.46
6/13/2017,7.43,10.42
6/14/2017,7.42,10.64
6/15/2017,7.47,10.90
6/16/2017,7.40,10.38
6/19/2017,7.76,10.37
6/20/2017,8.06,10.86
6/21/2017,8.06,10.75
6/22/2017,8.03,10.48
6/23/2017,8.01,10.02
6/26/2017,7.91,9.90
6/27/2017,8.31,11.06
6/28/2017,6.43,10.03
6/29/2017,7.02,11.44
6/30/2017,6.77,11.18
7/3/2017,6.65,11.22
7/4/2017,6.65,11.22
7/5/2017,6.64,11.07
7/6/2017,7.24,12.54
7/7/2017,7.37,11.19
7/10/2017,7.37,11.11
7/11/2017,7.37,10.89
7/12/2017,7.66,10.30
7/13/2017,7.36,9.90
7/14/2017,7.41,9.51
7/17/2017,7.39,9.82
7/18/2017,7.33,9.89
7/19/2017,7.47,9.79
7/20/2017,7.47,9.58
7/21/2017,7.47,9.36
7/24/2017,7.47,9.43
7/25/2017,7.41,9.43
7/26/2017,7.39,9.60
7/27/2017,7.36,10.11
7/28/2017,7.38,10.29
7/31/2017,6.98,10.26
8/1/2017,6.67,10.09
8/2/2017,6.66,10.28
8/3/2017,6.70,10.44
8/4/2017,6.71,10.03
8/7/2017,6.71,9.93
8/8/2017,6.23,10.96
8/9/2017,5.72,11.11
8/10/2017,6.78,16.04
8/11/2017,6.78,15.51
8/14/2017,7.36,12.33
8/15/2017,7.36,12.04
8/16/2017,6.69,11.74
8/17/2017,8.08,15.55
8/18/2017,8.10,14.26
8/21/2017,8.10,13.19
8/22/2017,8.35,11.35
8/23/2017,8.40,12.25
8/24/2017,8.29,12.23
8/25/2017,8.31,11.28
8/28/2017,8.31,11.32
8/29/2017,8.14,11.70
8/30/2017,8.27,11.22
8/31/2017,8.46,10.59
9/1/2017,8.48,10.13
9/4/2017,8.48,10.13
9/5/2017,8.73,12.23
9/6/2017,8.79,11.63
9/7/2017,8.78,11.55
9/8/2017,8.79,12.12
9/11/2017,9.37,10.73
9/12/2017,9.40,10.58
9/13/2017,9.40,10.50
9/14/2017,9.38,10.44
9/15/2017,9.37,10.17
9/18/2017,9.37,10.15
9/19/2017,9.34,10.18
9/20/2017,9.33,9.78
9/21/2017,8.17,9.67
9/22/2017,8.17,9.59
9/25/2017,7.71,10.21
9/26/2017,7.70,10.17
9/27/2017,7.78,9.87
9/28/2017,5.96,9.55
9/29/2017,5.94,9.51
10/2/2017,5.99,9.45
10/3/2017,5.38,9.51
10/4/2017,5.19,9.63
10/5/2017,5.24,9.19
10/6/2017,5.30,9.65
10/9/2017,5.38,10.33
10/10/2017,5.39,10.08
