Date,Preis
03.01.2000,30.9845
04.01.2000,33.2225
05.01.2000,32.5944
06.01.2000,31.1811
07.01.2000,27.4407
10.01.2000,27.3711
11.01.2000,27.9619
12.01.2000,28.6067
13.01.2000,28.0491
14.01.2000,25.4786
17.01.2000,25.9901
18.01.2000,27.7794
19.01.2000,28.1277
20.01.2000,27.7616
21.01.2000,28.1958
24.01.2000,28.6632
25.01.2000,30.0186
26.01.2000,29.4326
27.01.2000,28.0638
28.01.2000,29.0238
31.01.2000,31.9687
01.02.2000,30.1224
02.02.2000,29.5014
03.02.2000,28.9268
04.02.2000,28.6263
07.02.2000,29.9433
08.02.2000,28.5691
09.02.2000,29.5142
10.02.2000,30.1312
11.02.2000,29.1778
14.02.2000,32.9205
15.02.2000,33.9884
16.02.2000,32.5563
17.02.2000,30.9239
18.02.2000,30.3079
21.02.2000,30.9721
22.02.2000,30.7722
23.02.2000,29.5958
24.02.2000,29.5094
25.02.2000,27.0920
28.02.2000,29.0865
29.02.2000,28.7829
01.03.2000,27.6825
02.03.2000,24.7261
03.03.2000,27.5193
06.03.2000,27.7329
07.03.2000,28.4641
08.03.2000,29.5076
09.03.2000,29.2994
10.03.2000,28.2310
13.03.2000,31.1377
14.03.2000,30.9028
15.03.2000,31.5052
16.03.2000,31.4462
17.03.2000,31.0922
20.03.2000,29.5358
21.03.2000,29.1204
22.03.2000,28.9261
23.03.2000,28.5267
24.03.2000,27.0158
27.03.2000,27.0584
28.03.2000,26.4310
29.03.2000,25.4628
30.03.2000,27.7869
31.03.2000,27.2370
03.04.2000,28.1790
04.04.2000,27.8205
05.04.2000,32.0695
06.04.2000,28.7791
07.04.2000,26.6260
10.04.2000,26.9387
11.04.2000,28.1435
12.04.2000,27.6432
13.04.2000,27.8573
14.04.2000,28.4070
17.04.2000,30.7758
18.04.2000,30.2799
19.04.2000,28.2189
20.04.2000,27.2314
25.04.2000,28.3096
26.04.2000,28.2941
27.04.2000,29.9862
28.04.2000,28.1330
02.05.2000,28.7111
03.05.2000,29.8878
04.05.2000,29.5658
05.05.2000,28.1957
08.05.2000,28.7495
09.05.2000,29.2943
10.05.2000,30.0209
11.05.2000,27.7294
12.05.2000,27.0581
15.05.2000,28.1816
16.05.2000,26.8223
17.05.2000,27.2548
18.05.2000,26.2945
19.05.2000,28.5293
22.05.2000,29.7029
23.05.2000,28.7434
24.05.2000,28.8636
25.05.2000,27.3632
26.05.2000,26.7763
29.05.2000,26.2538
30.05.2000,25.6275
31.05.2000,25.2594
01.06.2000,24.1361
02.06.2000,22.7580
05.06.2000,23.4487
06.06.2000,24.1594
07.06.2000,24.3745
08.06.2000,24.1118
09.06.2000,24.3139
12.06.2000,24.5714
13.06.2000,24.1788
14.06.2000,23.2305
15.06.2000,24.1161
16.06.2000,23.5510
19.06.2000,23.0801
20.06.2000,22.3126
21.06.2000,22.7090
22.06.2000,22.7119
23.06.2000,22.6095
26.06.2000,22.8163
27.06.2000,22.7851
28.06.2000,22.2728
29.06.2000,23.5674
30.06.2000,22.4188
03.07.2000,22.6522
04.07.2000,21.8585
05.07.2000,22.6108
06.07.2000,22.4538
07.07.2000,21.4666
10.07.2000,21.5763
11.07.2000,21.2154
12.07.2000,20.9498
13.07.2000,20.4478
14.07.2000,19.7817
17.07.2000,19.6085
18.07.2000,19.4081
19.07.2000,20.4576
20.07.2000,20.0856
21.07.2000,20.3524
24.07.2000,20.8416
25.07.2000,20.5730
26.07.2000,20.6399
27.07.2000,21.2491
28.07.2000,22.5549
31.07.2000,22.2473
01.08.2000,22.4564
02.08.2000,22.2791
03.08.2000,23.1963
04.08.2000,22.4068
07.08.2000,22.2459
08.08.2000,21.9573
09.08.2000,21.7924
10.08.2000,21.2950
11.08.2000,21.1817
14.08.2000,20.6699
15.08.2000,20.6954
16.08.2000,20.2856
17.08.2000,20.2180
18.08.2000,19.9080
21.08.2000,19.9801
22.08.2000,19.9077
23.08.2000,19.6149
24.08.2000,19.8195
25.08.2000,19.2467
28.08.2000,19.7272
29.08.2000,19.8354
30.08.2000,20.1445
31.08.2000,19.6192
01.09.2000,19.1432
04.09.2000,19.6080
05.09.2000,20.5245
06.09.2000,20.6624
07.09.2000,19.9145
08.09.2000,20.4529
11.09.2000,20.1723
12.09.2000,20.0698
13.09.2000,20.5915
14.09.2000,20.3929
15.09.2000,19.8744
18.09.2000,21.1522
19.09.2000,21.4403
20.09.2000,22.0206
21.09.2000,24.8499
22.09.2000,24.4241
25.09.2000,23.1340
26.09.2000,22.6903
27.09.2000,22.3870
28.09.2000,21.9375
29.09.2000,23.3527
02.10.2000,23.5058
03.10.2000,23.2025
04.10.2000,23.5726
05.10.2000,23.1713
06.10.2000,23.2280
09.10.2000,25.2841
10.10.2000,25.6899
11.10.2000,27.7018
12.10.2000,27.6395
13.10.2000,28.6457
16.10.2000,27.4471
17.10.2000,26.9909
18.10.2000,29.8545
19.10.2000,27.5447
20.10.2000,26.4015
23.10.2000,26.5041
24.10.2000,25.6512
25.10.2000,26.7632
26.10.2000,27.3998
27.10.2000,26.3201
30.10.2000,26.4888
31.10.2000,25.3007
01.11.2000,24.8817
02.11.2000,24.4974
03.11.2000,23.5439
06.11.2000,24.1530
07.11.2000,24.3339
08.11.2000,24.2379
09.11.2000,24.2536
10.11.2000,25.5209
13.11.2000,28.0549
14.11.2000,25.5800
15.11.2000,25.1041
16.11.2000,24.9593
17.11.2000,24.8839
20.11.2000,26.3919
21.11.2000,25.5011
22.11.2000,26.9424
23.11.2000,26.1599
24.11.2000,25.3792
27.11.2000,25.9746
28.11.2000,26.2554
29.11.2000,26.2020
30.11.2000,28.3822
01.12.2000,27.2654
04.12.2000,28.1715
05.12.2000,26.1682
06.12.2000,25.6741
07.12.2000,25.8519
08.12.2000,25.4143
11.12.2000,24.7145
12.12.2000,24.2173
13.12.2000,23.8414
14.12.2000,24.9575
15.12.2000,25.5995
18.12.2000,24.4511
19.12.2000,24.3914
20.12.2000,27.2206
21.12.2000,27.9824
22.12.2000,27.4624
27.12.2000,27.0300
28.12.2000,26.7269
29.12.2000,26.2264
02.01.2001,27.7303
03.01.2001,28.6179
04.01.2001,26.9197
05.01.2001,26.5915
08.01.2001,27.2654
09.01.2001,27.0958
10.01.2001,26.4681
11.01.2001,24.8400
12.01.2001,23.6527
15.01.2001,23.7621
16.01.2001,24.1272
17.01.2001,23.4431
18.01.2001,23.2996
19.01.2001,22.7919
22.01.2001,23.3179
23.01.2001,23.1033
24.01.2001,22.4584
25.01.2001,22.0112
26.01.2001,21.9228
29.01.2001,22.0578
30.01.2001,22.5248
31.01.2001,22.2534
01.02.2001,21.7483
02.02.2001,21.1674
05.02.2001,21.5250
06.02.2001,20.5066
07.02.2001,20.7801
08.02.2001,20.1604
09.02.2001,20.3934
12.02.2001,19.6955
13.02.2001,19.8939
14.02.2001,21.0316
15.02.2001,19.6685
16.02.2001,21.0099
19.02.2001,21.2961
20.02.2001,21.4465
21.02.2001,22.6497
22.02.2001,23.9595
23.02.2001,23.8147
26.02.2001,23.7364
27.02.2001,22.9086
28.02.2001,23.3123
01.03.2001,23.3797
02.03.2001,22.8025
05.03.2001,22.2056
06.03.2001,20.8770
07.03.2001,20.7941
08.03.2001,20.5669
09.03.2001,21.1372
12.03.2001,23.4681
13.03.2001,24.1972
14.03.2001,27.1949
15.03.2001,27.2113
16.03.2001,27.7080
19.03.2001,28.2499
20.03.2001,27.7236
21.03.2001,28.3524
22.03.2001,30.5634
23.03.2001,31.4410
26.03.2001,28.7891
27.03.2001,27.0792
28.03.2001,29.6507
29.03.2001,30.1767
30.03.2001,29.8427
02.04.2001,29.5547
03.04.2001,33.0777
04.04.2001,32.6021
05.04.2001,30.5196
06.04.2001,29.7427
09.04.2001,28.7019
10.04.2001,26.5210
11.04.2001,25.3539
12.04.2001,25.1553
17.04.2001,27.7887
18.04.2001,25.1814
19.04.2001,26.1885
20.04.2001,26.5200
23.04.2001,26.9862
24.04.2001,25.7069
25.04.2001,24.9580
26.04.2001,22.9708
27.04.2001,20.9765
30.04.2001,21.2096
02.05.2001,21.7019
03.05.2001,22.9237
04.05.2001,22.9020
07.05.2001,22.5204
08.05.2001,22.4120
09.05.2001,22.6700
10.05.2001,21.2014
11.05.2001,21.0013
14.05.2001,22.2907
15.05.2001,21.6761
16.05.2001,21.8261
17.05.2001,21.1251
18.05.2001,20.6796
21.05.2001,20.6196
22.05.2001,20.0028
23.05.2001,20.0701
24.05.2001,19.5906
25.05.2001,19.5156
28.05.2001,19.7229
29.05.2001,20.4677
30.05.2001,21.5401
31.05.2001,21.3324
01.06.2001,20.9758
04.06.2001,20.6748
05.06.2001,19.8599
06.06.2001,19.9585
07.06.2001,19.9685
08.06.2001,19.0088
11.06.2001,19.5960
12.06.2001,21.9501
13.06.2001,21.3075
14.06.2001,23.6198
15.06.2001,24.2691
18.06.2001,24.4264
19.06.2001,22.8877
20.06.2001,23.0830
21.06.2001,22.2517
22.06.2001,20.9377
25.06.2001,21.4135
26.06.2001,23.5298
27.06.2001,23.1896
28.06.2001,21.7453
29.06.2001,20.3374
02.07.2001,19.6287
03.07.2001,20.4274
04.07.2001,20.5635
05.07.2001,20.9835
06.07.2001,24.7200
09.07.2001,25.3517
10.07.2001,25.0002
11.07.2001,27.7726
12.07.2001,25.0319
13.07.2001,24.4581
16.07.2001,25.5613
17.07.2001,26.1614
18.07.2001,28.3975
19.07.2001,26.0746
20.07.2001,26.1025
23.07.2001,25.7157
24.07.2001,26.3884
25.07.2001,28.0986
26.07.2001,26.9082
27.07.2001,24.9231
30.07.2001,23.5668
31.07.2001,22.3067
01.08.2001,21.7247
02.08.2001,22.0580
03.08.2001,22.8639
06.08.2001,22.8967
07.08.2001,22.7948
08.08.2001,23.4650
09.08.2001,25.9944
10.08.2001,25.7905
13.08.2001,25.2422
14.08.2001,24.0900
15.08.2001,24.2376
16.08.2001,25.9489
17.08.2001,28.9581
20.08.2001,28.6790
21.08.2001,26.7663
22.08.2001,26.9350
23.08.2001,25.2731
24.08.2001,24.1168
27.08.2001,24.9203
28.08.2001,26.2642
29.08.2001,26.2533
30.08.2001,27.7022
31.08.2001,27.4855
03.09.2001,28.8168
04.09.2001,28.6014
05.09.2001,29.9404
06.09.2001,31.6444
07.09.2001,33.0768
10.09.2001,34.9939
11.09.2001,54.1660
12.09.2001,46.6506
13.09.2001,40.9143
14.09.2001,50.8244
17.09.2001,45.6318
18.09.2001,46.8572
19.09.2001,46.6682
20.09.2001,52.4536
21.09.2001,57.5413
24.09.2001,50.2767
25.09.2001,48.7255
26.09.2001,47.0451
27.09.2001,45.1933
28.09.2001,40.8917
01.10.2001,43.2164
02.10.2001,42.8308
03.10.2001,41.6257
04.10.2001,38.9137
05.10.2001,41.4506
08.10.2001,43.2581
09.10.2001,42.1905
10.10.2001,39.1768
11.10.2001,38.5802
12.10.2001,38.3114
15.10.2001,43.8745
16.10.2001,42.3160
17.10.2001,40.9872
18.10.2001,44.6560
19.10.2001,46.3948
22.10.2001,42.6101
23.10.2001,39.3756
24.10.2001,39.2538
25.10.2001,40.7277
26.10.2001,38.0684
29.10.2001,39.5995
30.10.2001,42.7632
31.10.2001,40.7531
01.11.2001,39.7658
02.11.2001,38.4478
05.11.2001,37.1834
06.11.2001,37.6643
07.11.2001,36.8891
08.11.2001,34.3360
09.11.2001,33.6126
12.11.2001,39.4467
13.11.2001,34.4215
14.11.2001,35.2279
15.11.2001,36.8758
16.11.2001,33.0893
19.11.2001,31.8439
20.11.2001,31.8177
21.11.2001,30.7298
22.11.2001,28.1420
23.11.2001,27.5501
26.11.2001,27.6972
27.11.2001,29.1762
28.11.2001,30.0866
29.11.2001,30.1699
30.11.2001,28.7656
03.12.2001,30.1062
04.12.2001,28.1684
05.12.2001,26.8196
06.12.2001,27.5957
07.12.2001,27.5836
10.12.2001,28.6401
11.12.2001,28.5706
12.12.2001,28.9269
13.12.2001,29.7933
14.12.2001,30.0327
17.12.2001,27.7752
18.12.2001,28.4894
19.12.2001,28.3782
20.12.2001,29.0028
21.12.2001,28.5525
27.12.2001,27.5493
28.12.2001,26.7083
02.01.2002,29.3238
03.01.2002,27.3635
04.01.2002,26.6082
07.01.2002,27.4224
08.01.2002,27.0382
09.01.2002,27.0229
10.01.2002,28.2800
11.01.2002,27.1757
14.01.2002,29.0314
15.01.2002,28.3889
16.01.2002,29.2481
17.01.2002,28.6457
18.01.2002,28.0762
21.01.2002,29.1040
22.01.2002,27.6213
23.01.2002,26.7301
24.01.2002,24.7429
25.01.2002,24.0681
28.01.2002,24.4068
29.01.2002,25.0702
30.01.2002,26.5591
31.01.2002,25.3756
01.02.2002,24.6969
04.02.2002,25.5263
