Calendar Day,Traded Contracts,Open Interest Adjusted
1/2/2017,501458,3414414
1/3/2017,2016386,3451692
1/4/2017,1587820,3510508
1/5/2017,1757456,3552537
1/6/2017,1640236,3569379
1/9/2017,1488946,3545220
1/10/2017,1604224,3558550
1/11/2017,2131082,3593334
1/12/2017,2037898,3607625
1/13/2017,1775018,3650467
1/16/2017,1183332,3615952
1/17/2017,2388208,3633980
1/18/2017,1556308,3637706
1/19/2017,1784604,3637230
1/20/2017,1995386,3661461
1/23/2017,2044150,3638680
1/24/2017,1421618,3650536
1/25/2017,2148292,3676180
1/26/2017,1724426,3666373
1/27/2017,1647494,3636357
1/30/2017,2031952,3623585
1/31/2017,2581854,3625692
2/1/2017,2063792,3650886
2/2/2017,1731334,3639602
2/3/2017,1670180,3654070
2/6/2017,2493808,3659491
2/7/2017,1893340,3659706
2/8/2017,2502918,3667393
2/9/2017,2525080,3710446
2/10/2017,1999384,3697671
2/13/2017,1970084,3777297
2/14/2017,1457748,3798932
2/15/2017,1880096,3833018
2/16/2017,2094386,3865926
2/17/2017,2321026,3851050
2/20/2017,1020726,3864384
2/21/2017,1914274,3925015
2/22/2017,2060142,3917681
2/23/2017,2365300,4097886
2/24/2017,2735008,4179384
2/27/2017,1685298,4201393
2/28/2017,2038088,4209100
3/1/2017,2790136,4220914
3/2/2017,2098632,4286020
3/3/2017,2512384,4370343
3/6/2017,1817536,4337886
3/7/2017,1682140,4341186
3/8/2017,3590768,4419238
3/9/2017,3369550,4499500
3/10/2017,5556390,4479116
3/13/2017,5619188,4351157
3/14/2017,8625398,4533627
3/15/2017,6070892,4590224
3/16/2017,5581886,4748801
3/17/2017,2797064,3728146
3/20/2017,1202822,3739091
3/21/2017,2776286,3742411
3/22/2017,2305466,3774551
3/23/2017,2198210,3785941
3/24/2017,1659748,3813446
3/27/2017,1788880,3819719
3/28/2017,1872614,3851814
3/29/2017,1858678,3886865
3/30/2017,1380920,3907935
3/31/2017,2262116,3947952
4/3/2017,2285442,4006151
4/4/2017,1474980,4031738
4/5/2017,2053792,4011981
4/6/2017,2141054,4037811
4/7/2017,1882246,4028460
4/10/2017,1332218,4042690
4/11/2017,2675652,4103876
4/12/2017,1798644,4105589
4/13/2017,2087428,4144855
4/18/2017,2710604,4125218
4/19/2017,1915174,4077583
4/20/2017,2567184,4082043
4/21/2017,2956254,4021780
4/24/2017,4534862,4121336
4/25/2017,2632824,4163087
4/26/2017,2283596,4130053
4/27/2017,1820858,4107267
4/28/2017,2025438,4065919
5/2/2017,1595024,4074789
5/3/2017,1409340,4064650
5/4/2017,2446830,4099387
5/5/2017,2623704,4144015
5/8/2017,2377496,4135437
5/9/2017,1918578,4169435
5/10/2017,1746304,4141205
5/11/2017,2476514,4154227
5/12/2017,1545308,4157385
5/15/2017,1499202,4168205
5/16/2017,1682530,4164130
5/17/2017,3206310,4167179
5/18/2017,3462810,4173127
5/19/2017,2164682,4179931
5/22/2017,1336504,4152244
5/23/2017,1720414,4140120
5/24/2017,1227598,4127084
5/25/2017,1578776,4098620
5/26/2017,1548230,4057637
5/29/2017,427194,4064240
5/30/2017,1750944,4070750
5/31/2017,2560620,4047243
6/1/2017,1686396,4043126
6/2/2017,2320956,4047516
6/5/2017,730662,4033948
6/6/2017,2077142,4016882
6/7/2017,2629096,3994613
6/8/2017,2731604,3991119
6/9/2017,3960242,4043075
6/12/2017,6355016,4223683
6/13/2017,9232532,4439335
6/14/2017,7864630,4253708
