,Volume
1/2/2017,-372250.77607475745
1/3/2017,268083.1000997416
1/4/2017,59382.2204977785
1/5/2017,149613.29984461656
1/6/2017,77433.8613954722
1/9/2017,139037.10323310818
1/10/2017,58864.95840705803
1/11/2017,318675.5787605917
1/12/2017,261691.7729422783
1/13/2017,109118.24651148485
1/16/2017,-81481.15476652421
1/17/2017,367019.7226937489
1/18/2017,-29089.059321769397
1/19/2017,79220.88819261116
1/20/2017,175744.16977336956
1/23/2017,317173.9240745305
1/24/2017,-133721.31573834375
1/25/2017,211597.72095793567
1/26/2017,-12397.004141153651
1/27/2017,-57393.268851664616
1/30/2017,267702.0841823319
1/31/2017,408282.642271591
2/1/2017,144946.71595503122
2/2/2017,-23537.995587038924
2/3/2017,-54932.738896717085
2/6/2017,488004.00757100736
2/7/2017,64470.445164640085
2/8/2017,374958.15997965715
2/9/2017,347900.824585233
2/10/2017,117599.64404429146
2/13/2017,264101.4125846067
2/14/2017,-114973.18208928674
2/15/2017,90938.45834042632
2/16/2017,196425.4123495071
2/17/2017,307455.4398658739
2/20/2017,-224212.98395846633
2/21/2017,53996.650256879744
2/22/2017,133790.66974295024
2/23/2017,103674.02908531053
2/24/2017,401219.5093653733
2/27/2017,-7302.880131790764
2/28/2017,5945.867063380312
3/1/2017,360610.4953562332
3/2/2017,-98541.75890324404
3/3/2017,117769.52192587475
3/6/2017,-175599.26796319347
3/7/2017,-424110.0224967762
3/8/2017,67199.80386968213
3/9/2017,-87825.16296929843
3/10/2017,426723.7041284037
3/13/2017,233248.37355596456
3/14/2017,890098.4041609948
3/15/2017,292928.2711698937
3/16/2017,494041.04963306896
3/17/2017,-118204.38668806758
3/20/2017,-54309.08250552975
3/21/2017,529611.6044093668
3/22/2017,327261.4602267763
3/23/2017,261124.19980281987
3/24/2017,-7079.939771613921
3/27/2017,186998.02999515634
3/28/2017,111279.73799107643
3/29/2017,112719.11191810144
3/30/2017,-116303.25983220607
3/31/2017,332005.9697653566
4/3/2017,473953.80118739
4/4/2017,-56879.17095316062
4/5/2017,229186.5372006985
4/6/2017,266927.1444498437
4/7/2017,128963.87399527186
4/10/2017,-29828.179740216816
4/11/2017,504280.7601375835
4/12/2017,54502.82517579757
4/13/2017,187204.45471126598
4/18/2017,488711.7818876422
4/19/2017,79521.83860154671
4/20/2017,397355.22937419964
4/21/2017,579996.4499915837
4/24/2017,1488624.6051372057
4/25/2017,402649.10814207874
4/26/2017,219705.49224251334
4/27/2017,-19934.663276103092
4/28/2017,74879.1560664872
5/2/2017,-146600.53376142902
5/3/2017,-243996.35087846487
5/4/2017,271636.0467713595
5/5/2017,360266.4126535759
5/8/2017,367022.26832082425
5/9/2017,16541.81510635151
5/10/2017,-62033.36088292219
5/11/2017,309647.4129183629
5/12/2017,-147395.65843068413
5/15/2017,-38000.780690844986
5/16/2017,-63957.26617284387
5/17/2017,702143.4834525784
5/18/2017,828655.5466573684
5/19/2017,168466.68336944445
5/22/2017,-128702.63125918654
5/23/2017,-79957.88784813124
5/24/2017,-348849.7591701662
5/25/2017,-190631.29063209647
5/26/2017,-232203.7011563247
5/29/2017,-690686.9814577795
5/30/2017,-198038.12507071393
5/31/2017,179769.61241784832
6/1/2017,-287947.5326459198
6/2/2017,-37584.1426210918
6/5/2017,-747789.823316358
6/6/2017,-346698.46865423163
6/7/2017,-260727.53309397143
6/8/2017,-410365.39073724276
6/9/2017,-176048.41444383143
6/12/2017,474766.36417753133
6/13/2017,939780.5039801782
6/14/2017,732815.4801819252
6/15/2017,332457.3678417634
6/16/2017,-105791.95928557124
6/19/2017,96668.93482501653
6/20/2017,28392.801437114016
6/21/2017,74317.68785629317
6/22/2017,-117826.43464786373
6/23/2017,-143814.74845013022
6/26/2017,-75225.89333462506
6/27/2017,4581.559772912646
6/28/2017,178746.77661327377
6/29/2017,610163.4599115382
6/30/2017,372351.16720555397
7/3/2017,-14286.459569325321
7/4/2017,-403225.1177881387
7/5/2017,-105438.53178341046
7/6/2017,176111.01317774644
7/7/2017,-189048.95966470847
7/10/2017,-212990.25222038303
7/11/2017,-206570.93143211433
7/12/2017,3020.1545281087747
7/13/2017,-166912.18568351516
7/14/2017,-307028.24649998976
7/17/2017,-118219.18217130937
7/18/2017,175748.16089565319
7/19/2017,-168451.15551317565
7/20/2017,230905.25761552376
7/21/2017,433554.0048029716
7/24/2017,34805.22471082199
7/25/2017,-78867.5494877334
7/26/2017,-248650.04718476452
