fact_date;wkn;it_open_price;it_highest_price;it_lowest_price;it_close_price
01.08.2017;965814;3457.97;3490.49;3447.73;3477.39
02.08.2017;965814;3478.21;3481.74;3451.31;3459.32
03.08.2017;965814;3456.28;3471.81;3438.15;3466.37
04.08.2017;965814;3462.55;3515.54;3456.27;3507.41
07.08.2017;965814;3509.59;3516.78;3497.21;3505.8
08.08.2017;965814;3503.99;3524.94;3493.03;3515.63
09.08.2017;965814;3504.17;3504.17;3452.74;3468.45
10.08.2017;965814;3466.11;3466.22;3424.81;3433.54
11.08.2017;965814;3422.3;3422.3;3392.87;3406.34
14.08.2017;965814;3420.9;3460.93;3420.9;3450.66
15.08.2017;965814;3454.39;3473.53;3454.26;3461.91
16.08.2017;965814;3465.63;3497.29;3465.63;3484.57
17.08.2017;965814;3482.19;3484.66;3456.15;3461.97
18.08.2017;965814;3441.21;3448.39;3420.5;3446.03
21.08.2017;965814;3436.84;3442.24;3411.06;3423.53
22.08.2017;965814;3432.46;3459.19;3432.46;3455.59
23.08.2017;965814;3454.83;3467.78;3432.05;3438.63
24.08.2017;965814;3443.12;3460.78;3443.12;3444.73
25.08.2017;965814;3447.52;3461.62;3432.77;3438.55
28.08.2017;965814;3432.38;3439.65;3412.33;3421.03
29.08.2017;965814;3411.89;3411.89;3363.68;3388.22
30.08.2017;965814;3405.65;3412.26;3397.27;3403.71
31.08.2017;965814;3409.62;3437.82;3409.62;3421.47
01.09.2017;965814;3425.84;3454.55;3425.84;3443.88
04.09.2017;965814;3436.36;3438.06;3419.06;3430.42
05.09.2017;965814;3432.55;3448.93;3415.98;3420.86
06.09.2017;965814;3407.94;3444.48;3396.69;3433.8
07.09.2017;965814;3437.61;3467.94;3437.61;3447.66
08.09.2017;965814;3441.34;3453.35;3433.63;3447.69
11.09.2017;965814;3456.77;3496.7;3456.77;3495.19
12.09.2017;965814;3498.32;3520.82;3498.32;3512.56
13.09.2017;965814;3509.64;3529.18;3506.61;3523.14
14.09.2017;965814;3521.03;3530.28;3512.01;3526.48
15.09.2017;965814;3526.01;3532.78;3509.93;3515.55
18.09.2017;965814;3523.6;3537.22;3522.59;3526.74
19.09.2017;965814;3524.28;3531.18;3520.93;3531.18
20.09.2017;965814;3528.17;3533.66;3520.72;3525.55
21.09.2017;965814;3531.52;3546.56;3531.52;3539.59
22.09.2017;965814;3534.27;3553.08;3532.39;3541.42
25.09.2017;965814;3537.21;3546.83;3530.88;3537.81
26.09.2017;965814;3534.89;3542.88;3529.19;3536.38
27.09.2017;965814;3538.43;3563.01;3538.43;3555.17
28.09.2017;965814;3556.5;3566.6;3556.5;3563.64
29.09.2017;965814;3563.61;3594.85;3560.73;3594.85
02.10.2017;965814;3590.71;3602.69;3588.4;3602.69
03.10.2017;965814;3605.99;3607.31;3598.71;3605.73
04.10.2017;965814;3606.6;3608.45;3584.82;3594.91
05.10.2017;965814;3592.66;3613.73;3589.66;3613.54
06.10.2017;965814;3614.17;3614.17;3595.5;3603.32
09.10.2017;965814;3604.61;3618.34;3600.94;3610.5
10.10.2017;965814;3607;3609.04;3589.98;3598.79
11.10.2017;965814;3600.17;3608.51;3591.24;3607.39
12.10.2017;965814;3608.16;3608.16;3595.56;3605.54
13.10.2017;965814;3607.09;3618.35;3599.51;3604.55
16.10.2017;965814;3607.18;3613.49;3600.22;3606.27
17.10.2017;965814;3609.3;3619.66;3598.12;3607.77
18.10.2017;965814;3608.02;3625.87;3607.21;3619.65
19.10.2017;965814;3616.49;3616.49;3586.35;3602.08
20.10.2017;965814;3608.75;3617.52;3600.05;3605.09
23.10.2017;965814;3606.71;3625.65;3597.08;3608.87
24.10.2017;965814;3606.64;3624.73;3605.03;3610.69
25.10.2017;965814;3609.02;3622.62;3585.32;3591.46
26.10.2017;965814;3593.99;3639.81;3580.21;3637.2
27.10.2017;965814;3642.79;3670;3642.79;3652.23
30.10.2017;965814;3653.02;3668.55;3653.02;3662.18
31.10.2017;965814;3664.69;3677.66;3662.77;3673.95
01.11.2017;965814;3676.99;3708.82;3676.99;3697.4
02.11.2017;965814;3693.4;3698.56;3673.25;3688.8
03.11.2017;965814;3691.57;3694.03;3677.39;3689.96
06.11.2017;965814;3684.26;3685.75;3670.47;3682.36
07.11.2017;965814;3684.23;3695.32;3656.18;3658.77
08.11.2017;965814;3660.71;3667.69;3642.1;3655.04
09.11.2017;965814;3655.59;3661.05;3610.01;3612.5
10.11.2017;965814;3614.91;3620.01;3591.15;3593.76
13.11.2017;965814;3596.7;3601.45;3546.32;3574.52
14.11.2017;965814;3576.88;3588.33;3546.2;3556.38
15.11.2017;965814;3554.05;3554.05;3519.35;3545.72
16.11.2017;965814;3549.29;3576.86;3549.29;3564.8
17.11.2017;965814;3564.96;3572.16;3541.22;3547.46
20.11.2017;965814;3545.52;3567.07;3536.21;3561.41
21.11.2017;965814;3557.27;3591.53;3551.4;3579.32
22.11.2017;965814;3581.21;3596.64;3562.53;3562.65
23.11.2017;965814;3558.22;3581.01;3545.57;3572.07
24.11.2017;965814;3571.86;3601.16;3568.55;3581.23
27.11.2017;965814;3576.18;3596.79;3564.02;3564.02
28.11.2017;965814;3565.8;3587.28;3559.13;3583.49
29.11.2017;965814;3593.83;3619.43;3585.51;3589.91
30.11.2017;965814;3593.53;3614.6;3569.93;3569.93
01.12.2017;965814;3571.63;3575.29;3524.36;3527.55
04.12.2017;965814;3536.38;3585.68;3536.38;3576.22
05.12.2017;965814;3572.78;3583.08;3552.34;3570.57
06.12.2017;965814;3561.94;3569.34;3531.57;3561.57
07.12.2017;965814;3561.99;3579.52;3558.5;3573.13
08.12.2017;965814;3577;3612.39;3577;3591.45
11.12.2017;965814;3594.7;3601.22;3579.18;3582.21
12.12.2017;965814;3584.67;3600.35;3568.53;3600.35
13.12.2017;965814;3599.92;3601.89;3581.75;3581.75
14.12.2017;965814;3578.82;3582.53;3556.22;3556.22
15.12.2017;965814;3554.37;3562.66;3542.85;3560.53
18.12.2017;965814;3568;3613.41;3568;3609.42
19.12.2017;965814;3609.18;3613.57;3581.95;3582.22
20.12.2017;965814;3580.58;3585.62;3545.64;3552.65
21.12.2017;965814;3550.84;3574.96;3534.22;3570.78
22.12.2017;965814;3565.99;3565.99;3548.47;3553.39
27.12.2017;965814;3553.16;3568.91;3541.43;3550.17
28.12.2017;965814;3549.45;3549.75;3519.85;3524.31
29.12.2017;965814;3524.12;3524.24;3503.2;3503.96
02.01.2018;965814;3506.5;3508.37;3469.23;3490.19
03.01.2018;965814;3492.9;3519.73;3488.91;3509.88
04.01.2018;965814;3520.84;3580.47;3520.84;3568.88
05.01.2018;965814;3570.51;3608.7;3570.51;3607.63
08.01.2018;965814;3610.97;3624.74;3608.82;3616.45
09.01.2018;965814;3617.48;3629.73;3614.16;3622.87
10.01.2018;965814;3619.88;3625.35;3599.14;3609.83
11.01.2018;965814;3613.99;3617.75;3588.07;3595.24
12.01.2018;965814;3597.19;3616.01;3597.19;3612.61
15.01.2018;965814;3612.73;3623.44;3603.47;3611.81
16.01.2018;965814;3613.1;3639.05;3611.56;3622.01
17.01.2018;965814;3613.09;3624.68;3603.3;3612.78
18.01.2018;965814;3616.75;3628.13;3606.2;3620.91
19.01.2018;965814;3622.22;3653.03;3619.23;3649.07
22.01.2018;965814;3650.78;3665.53;3644.86;3665.28
23.01.2018;965814;3675.44;3687.22;3662.86;3672.29
24.01.2018;965814;3671.01;3674.5;3643.22;3643.22
25.01.2018;965814;3640.71;3659.33;3614.06;3630.15
26.01.2018;965814;3631.29;3652.48;3630.43;3647.41
29.01.2018;965814;3648.41;3651.21;3636.05;3643.04
30.01.2018;965814;3633.26;3633.35;3601.39;3606.75
31.01.2018;965814;3605.7;3620.94;3600.36;3609.29
